"region","plant_type_full","year","Value"
"CA","bio_X",2020,0.6654
"CA","col_X1",2020,0.2284
"CA","col_X2",2020,0.0029
"CA","col_X3",2020,5.5129
"CA","geo_X",2020,2.7284
"CA","hyd_X",2020,9.8416
"CA","msw_X",2020,0.0596
"CA","ngcc_X1",2020,21.7369
"CA","ngcc_X2",2020,0.4257
"CA","ngcc_X3",2020,0.2028
"CA","ngtb_X1",2020,8.2231
"CA","ngtb_X2",2020,3.6985
"CA","ngtb_X3",2020,1.5515
"CA","nuc_X",2020,2.323
"CA","oth_X",2020,0.3272
"CA","slr_X",2020,12.7087
"CA","stog_X1",2020,1.8258
"CA","stog_X2",2020,1.5442
"CA","wnd_X",2020,6.1386
"ENC","bio_X",2020,0.9976
"ENC","col_X1",2020,12.91
"ENC","col_X2",2020,47.0265
"ENC","col_X3",2020,4.1495
"ENC","hyd_X",2020,1.1528
"ENC","msw_X",2020,0.8644
"ENC","ngcc_X1",2020,23.4076
"ENC","ngcc_X3",2020,0.7698
"ENC","ngtb_X1",2020,9.1872
"ENC","ngtb_X2",2020,13.41
"ENC","ngtb_X3",2020,13.0174
"ENC","nuc_X",2020,20.252
"ENC","oth_X",2020,0.4492
"ENC","slr_X",2020,0.5275
"ENC","stog_X2",2020,1.9788
"ENC","wnd_X",2020,11.128
"ESC","bio_X",2020,1.3032
"ESC","col_X1",2020,12.0678
"ESC","col_X2",2020,19.2178
"ESC","col_X3",2020,1.3524
"ESC","hyd_X",2020,6.92
"ESC","msw_X",2020,0.1357
"ESC","ngcc_X1",2020,23.8484
"ESC","ngcc_X2",2020,0.0492
"ESC","ngcc_X3",2020,0.0165
"ESC","ngtb_X1",2020,2.2969
"ESC","ngtb_X2",2020,8.0796
"ESC","ngtb_X3",2020,5.274
"ESC","nuc_X",2020,11.6912
"ESC","oth_X",2020,0.3085
"ESC","slr_X",2020,0.6248
"ESC","stog_X2",2020,1.7136
"ESC","wnd_X",2020,0.027
"FL","bio_X",2020,0.7129
"FL","col_X1",2020,0.7348
"FL","col_X2",2020,11.4532
"FL","col_X3",2020,0.7833
"FL","hyd_X",2020,0.0435
"FL","msw_X",2020,0.6082
"FL","ngcc_X1",2020,34.9136
"FL","ngcc_X2",2020,0.1812
"FL","ngcc_X3",2020,0.0404
"FL","ngtb_X1",2020,5.3102
"FL","ngtb_X2",2020,1.5083
"FL","ngtb_X3",2020,3.8019
"FL","nuc_X",2020,3.7972
"FL","oth_X",2020,0.1074
"FL","slr_X",2020,3.0112
"MID","bio_X",2020,0.2917
"MID","col_X1",2020,4.2066
"MID","col_X2",2020,7.1341
"MID","col_X3",2020,4.553
"MID","hyd_X",2020,0.9318
"MID","msw_X",2020,0.5696
"MID","ngcc_X1",2020,27.5931
"MID","ngcc_X2",2020,0.5362
"MID","ngtb_X1",2020,3.1215
"MID","ngtb_X2",2020,2.4568
"MID","ngtb_X3",2020,2.6048
"MID","nuc_X",2020,13.1629
"MID","oth_X",2020,0.2032
"MID","slr_X",2020,0.938
"MID","stog_X2",2020,1.994
"MID","wnd_X",2020,1.4724
"MTN","bio_X",2020,0.1688
"MTN","col_X1",2020,3.6085
"MTN","col_X2",2020,23.9198
"MTN","col_X3",2020,2.4857
"MTN","geo_X",2020,0.9276
"MTN","hyd_X",2020,10.4677
"MTN","ngcc_X1",2020,25.4001
"MTN","ngcc_X2",2020,0.0375
