region,biostep,year,Value
NEG,1,2020,1.742534434
NEG,2,2020,2.020484711
NEG,3,2020,2.287744594
NEG,4,2020,2.565694871
NEG,5,2020,2.832954754
NEG,6,2020,3.110905032
NEG,7,2020,3.378164914
NEG,8,2020,3.656115192
NEG,9,2020,3.923375074
NEG,10,2020,4.201325352
NEG,11,2020,4.468585234
NEG,12,2020,4.746535512
NEG,13,2020,5.013795395
NEG,14,2020,5.291745672
NEG,15,2020,5.559005555
NEG,16,2020,5.836955832
NEG,17,2020,6.104215715
NY,1,2020,1.742534434
NY,2,2020,2.020484711
NY,3,2020,2.287744594
NY,4,2020,2.565694871
NY,5,2020,2.832954754
NY,6,2020,3.110905032
NY,7,2020,3.378164914
NY,8,2020,3.656115192
NY,9,2020,3.923375074
MID,1,2020,1.742534434
MID,2,2020,2.020484711
MID,3,2020,2.287744594
MID,4,2020,2.565694871
MID,5,2020,2.832954754
MID,6,2020,3.110905032
MID,7,2020,3.378164914
MID,8,2020,3.656115192
MID,9,2020,3.923375074
ENC,1,2020,1.742534434
ENC,2,2020,2.020484711
ENC,3,2020,2.287744594
ENC,4,2020,2.565694871
ENC,5,2020,2.832954754
ENC,6,2020,3.110905032
ENC,7,2020,3.378164914
ENC,8,2020,3.656115192
ENC,9,2020,3.923375074
ENC,10,2020,4.201325352
ENC,11,2020,4.468585234
ENC,12,2020,4.746535512
ENC,13,2020,5.013795395
ENC,14,2020,5.291745672
ENC,15,2020,5.559005555
ENC,16,2020,5.836955832
ENC,17,2020,6.104215715
WNC,1,2020,1.742534434
WNC,2,2020,2.020484711
WNC,3,2020,2.287744594
WNC,4,2020,2.565694871
WNC,5,2020,2.832954754
WNC,6,2020,3.110905032
WNC,7,2020,3.378164914
WNC,8,2020,3.656115192
WNC,9,2020,3.923375074
WNC,10,2020,4.201325352
WNC,11,2020,4.468585234
WNC,12,2020,4.746535512
WNC,13,2020,5.013795395
WNC,14,2020,5.291745672
WNC,15,2020,5.559005555
WNC,16,2020,5.836955832
WNC,17,2020,6.104215715
FL,1,2020,1.742534434
FL,2,2020,2.020484711
FL,3,2020,2.287744594
FL,4,2020,2.565694871
FL,5,2020,2.832954754
FL,6,2020,3.110905032
FL,7,2020,3.378164914
FL,8,2020,3.656115192
FL,9,2020,3.923375074
FL,10,2020,4.201325352
FL,11,2020,4.468585234
FL,12,2020,4.746535512
FL,13,2020,5.013795395
FL,14,2020,5.291745672
FL,15,2020,5.559005555
FL,16,2020,5.836955832
FL,17,2020,6.104215715
SAC,1,2020,1.742534434
SAC,2,2020,2.020484711
SAC,3,2020,2.287744594
SAC,4,2020,2.565694871
SAC,5,2020,2.832954754
SAC,6,2020,3.110905032
SAC,7,2020,3.378164914
SAC,8,2020,3.656115192
SAC,9,2020,3.923375074
SAC,10,2020,4.201325352
SAC,11,2020,4.468585234
SAC,12,2020,4.746535512
SAC,13,2020,5.013795395
SAC,14,2020,5.291745672
SAC,15,2020,5.559005555
SAC,16,2020,5.836955832
SAC,17,2020,6.104215715
ESC,1,2020,1.742534434
ESC,2,2020,2.020484711
ESC,3,2020,2.287744594
ESC,4,2020,2.565694871
ESC,5,2020,2.832954754
ESC,6,2020,3.110905032
ESC,7,2020,3.378164914
ESC,8,2020,3.656115192
ESC,9,2020,3.923375074
ESC,10,2020,4.201325352
ESC,11,2020,4.468585234
ESC,12,2020,4.746535512
ESC,13,2020,5.013795395
ESC,14,2020,5.291745672
ESC,15,2020,5.559005555
ESC,16,2020,5.836955832
ESC,17,2020,6.104215715
TX,1,2020,1.742534434
TX,2,2020,2.020484711
TX,3,2020,2.287744594
TX,4,2020,2.565694871
TX,5,2020,2.832954754
TX,6,2020,3.110905032
TX,7,2020,3.378164914
TX,8,2020,3.656115192
TX,9,2020,3.923375074
TX,10,2020,4.201325352
TX,12,2020,4.746535512
TX,16,2020,5.836955832
WSC,1,2020,1.742534434
WSC,2,2020,2.020484711
WSC,3,2020,2.287744594
WSC,4,2020,2.565694871
WSC,5,2020,2.832954754
WSC,6,2020,3.110905032
WSC,7,2020,3.378164914
WSC,8,2020,3.656115192
WSC,9,2020,3.923375074
WSC,10,2020,4.201325352
WSC,12,2020,4.746535512
WSC,16,2020,5.836955832
MTN,1,2020,1.742534434
MTN,2,2020,2.020484711
MTN,3,2020,2.287744594
MTN,4,2020,2.565694871
MTN,5,2020,2.832954754
MTN,6,2020,3.110905032
MTN,7,2020,3.378164914
MTN,8,2020,3.656115192
MTN,9,2020,3.923375074
MTN,10,2020,4.201325352
MTN,11,2020,4.468585234
MTN,12,2020,4.746535512
MTN,13,2020,5.013795395
MTN,14,2020,5.291745672
MTN,15,2020,5.559005555
MTN,16,2020,5.836955832
MTN,17,2020,6.104215715
CA,1,2020,1.742534434
CA,2,2020,2.020484711
CA,3,2020,2.287744594
CA,4,2020,2.565694871
CA,5,2020,2.832954754
CA,6,2020,3.110905032
CA,7,2020,3.378164914
CA,8,2020,3.656115192
CA,9,2020,3.923375074
CA,10,2020,4.201325352
CA,11,2020,4.468585234
CA,12,2020,4.746535512
CA,13,2020,5.013795395
CA,14,2020,5.291745672
CA,15,2020,5.559005555
CA,16,2020,5.836955832
CA,17,2020,6.104215715
PAC,1,2020,1.742534434
PAC,2,2020,2.020484711
PAC,3,2020,2.287744594
PAC,4,2020,2.565694871
PAC,5,2020,2.832954754
PAC,6,2020,3.110905032
PAC,7,2020,3.378164914
PAC,8,2020,3.656115192
PAC,9,2020,3.923375074
PAC,10,2020,4.201325352
PAC,11,2020,4.468585234
PAC,12,2020,4.746535512
PAC,13,2020,5.013795395
PAC,14,2020,5.291745672
PAC,15,2020,5.559005555
PAC,16,2020,5.836955832
PAC,17,2020,6.104215715
