region,year,Value
NEG,2020,27.99132043
NEG,2025,29.38846755
NEG,2030,30.77514828
NEG,2035,32.01942793
NEG,2040,33.38710384
NEG,2045,34.88412215
NEG,2050,36.48515601
NEG,2075,45.66234942
NY,2020,32.89393139
NY,2025,33.73099403
NY,2030,34.36310582
NY,2035,34.73052645
NY,2040,36.21400406
NY,2045,37.83777554
NY,2050,39.57436962
NY,2075,49.52859989
MID,2020,53.55007927
MID,2025,55.34882829
MID,2030,56.954647
MID,2035,58.24560703
MID,2040,60.87407546
MID,2045,63.48062115
MID,2050,66.15913841
MID,2075,81.34543886
ENC,2020,119.6920598
ENC,2025,123.8997165
ENC,2030,128.9133754
ENC,2035,133.4361952
ENC,2040,141.7468495
ENC,2045,150.8986826
ENC,2050,160.812566
ENC,2075,221.051084
WNC,2020,62.17304376
WNC,2025,65.16747035
WNC,2030,68.45495861
WNC,2035,71.59568399
WNC,2040,76.05479632
WNC,2045,80.96524622
WNC,2050,86.284577
WNC,2075,118.6057766
FL,2020,51.82453424
FL,2025,55.84606384
FL,2030,60.167795
FL,2035,64.37180495
FL,2040,67.2767323
FL,2045,70.15743111
FL,2050,73.11767137
FL,2075,89.90124734
SAC,2020,136.1961133
SAC,2025,143.3313091
SAC,2030,150.8752727
SAC,2035,157.9795441
SAC,2040,165.1087383
SAC,2045,172.1784714
SAC,2050,179.4434131
SAC,2075,220.6332117
ESC,2020,73.58917367
ESC,2025,76.04523668
ESC,2030,78.61044014
ESC,2035,80.91069447
ESC,2040,82.90828933
ESC,2045,85.05790206
ESC,2050,87.27675558
ESC,2075,99.27004695
TX,2020,85.60237406
TX,2025,88.93332395
TX,2030,91.9648387
TX,2035,94.43286934
TX,2040,96.76431162
TX,2045,99.27317772
TX,2050,101.8628565
TX,2075,115.8605229
WSC,2020,47.06006285
WSC,2025,49.12217209
WSC,2030,51.19989337
WSC,2035,53.06509143
WSC,2040,54.37520939
WSC,2045,55.78502792
WSC,2050,57.24025786
WSC,2075,65.1060302
MTN,2020,60.66094633
MTN,2025,64.98223885
MTN,2030,69.38492749
MTN,2035,74.4609145
MTN,2040,78.78675611
MTN,2045,83.16951648
MTN,2050,87.73860309
MTN,2075,114.63663
CA,2020,66.37661305
CA,2025,69.88036005
CA,2030,73.50580098
CA,2035,77.04747599
CA,2040,80.78903551
CA,2045,84.66832156
CA,2050,88.70721065
CA,2075,111.9821463
PAC,2020,29.00160773
PAC,2025,30.51298255
PAC,2030,32.07765219
PAC,2035,33.75235118
PAC,2040,35.3914241
PAC,2045,37.09083116
PAC,2050,38.86015587
PAC,2075,49.05625629
