region,fuel_type,year,Value
NEG,COL,2020,2.775013073
NEG,GAS,2020,6.806832678
NEG,OIL,2020,21.53070001
NEG,bio,2020,2.65
NEG,nuc,2020,0.76
NY,COL,2020,2.377659758
NY,GAS,2020,6.490726022
NY,OIL,2020,21.53070001
NY,bio,2020,2.65
NY,nuc,2020,0.76
MID,COL,2020,2.377659758
MID,GAS,2020,6.490726022
MID,OIL,2020,21.53070001
MID,bio,2020,2.65
MID,nuc,2020,0.76
ENC,COL,2020,2.018587188
ENC,GAS,2020,6.043929147
ENC,OIL,2020,21.53070001
ENC,bio,2020,2.65
ENC,nuc,2020,0.76
WNC,COL,2020,1.554668024
WNC,GAS,2020,6.279485533
WNC,OIL,2020,21.53070001
WNC,bio,2020,2.65
WNC,nuc,2020,0.76
FL,COL,2020,2.558538341
FL,GAS,2020,8.055017801
FL,OIL,2020,21.53070001
FL,bio,2020,2.65
FL,nuc,2020,0.76
SAC,COL,2020,2.558538341
SAC,GAS,2020,8.055017801
SAC,OIL,2020,21.53070001
SAC,bio,2020,2.65
SAC,nuc,2020,0.76
ESC,COL,2020,2.247866809
ESC,GAS,2020,6.282731567
ESC,OIL,2020,21.53070001
ESC,bio,2020,2.65
ESC,nuc,2020,0.76
TX,COL,2020,1.759339183
TX,GAS,2020,6.043929147
TX,OIL,2020,21.680533
TX,bio,2020,2.65
TX,nuc,2020,0.76
WSC,COL,2020,1.759339183
WSC,GAS,2020,6.043929147
WSC,OIL,2020,21.680533
WSC,bio,2020,2.65
WSC,nuc,2020,0.76
MTN,COL,2020,1.587812392
MTN,GAS,2020,6.948559
MTN,OIL,2020,21.89384275
MTN,bio,2020,2.65
MTN,nuc,2020,0.76
CA,COL,2020,2.195296714
CA,GAS,2020,6.646899308
CA,OIL,2020,25.90192793
CA,bio,2020,2.65
CA,nuc,2020,0.76
PAC,COL,2020,2.195296714
PAC,GAS,2020,6.646899308
PAC,OIL,2020,25.90192793
PAC,bio,2020,2.65
PAC,nuc,2020,0.76
