region,biostep,year,Value
NEG,1,2020,33.3
NEG,2,2020,109.9
NEG,3,2020,100.37
NEG,4,2020,57.18
NEG,5,2020,110.93
NEG,6,2020,25.04
NEG,7,2020,22.1
NEG,8,2020,17.94
NEG,9,2020,40.93
NEG,10,2020,18.28
NEG,11,2020,4.61
NEG,12,2020,2.73
NEG,13,2020,2.63
NEG,14,2020,1.48
NEG,15,2020,0.76
NEG,16,2020,0.05
NEG,17,2020,3.99
NY,1,2020,1.836302
NY,2,2020,4.309188692
NY,3,2020,10.7484877
NY,4,2020,2.954405884
NY,5,2020,2.309659848
NY,6,2020,0.432551138
NY,7,2020,0.212194898
NY,8,2020,0.832456906
NY,9,2020,33.57576189
MID,1,2020,0.413698
MID,2,2020,0.970811308
MID,3,2020,2.421512296
MID,4,2020,0.665594116
MID,5,2020,0.520340152
MID,6,2020,0.097448862
MID,7,2020,0.047805102
MID,8,2020,0.187543094
MID,9,2020,7.564238106
ENC,1,2020,85.16
ENC,2,2020,145.38
ENC,3,2020,991.47
ENC,4,2020,313.9
ENC,5,2020,255
ENC,6,2020,122.77
ENC,7,2020,177.05
ENC,8,2020,116.63
ENC,9,2020,64.75
ENC,10,2020,59.55
ENC,11,2020,43.66
ENC,12,2020,46.28
ENC,13,2020,81.61
ENC,14,2020,58.59
ENC,15,2020,45.4
ENC,16,2020,75.87
ENC,17,2020,44.64
WNC,1,2020,72.16
WNC,2,2020,167.94
WNC,3,2020,88.19
WNC,4,2020,77.76
WNC,5,2020,164.2
WNC,6,2020,53.06
WNC,7,2020,49.13
WNC,8,2020,19.36
WNC,9,2020,15.28
WNC,10,2020,11.42
WNC,11,2020,4.16
WNC,12,2020,12.41
WNC,13,2020,10.02
WNC,14,2020,8.65
WNC,15,2020,4.32
WNC,16,2020,6.85
WNC,17,2020,3.56
FL,1,2020,11.30144484
FL,2,2020,16.46702756
FL,3,2020,66.87535267
FL,4,2020,26.04045099
FL,5,2020,9.444052843
FL,6,2020,4.583415079
FL,7,2020,15.50598892
FL,8,2020,4.906841546
FL,9,2020,7.337160428
FL,10,2020,0.674575203
FL,11,2020,9.591904943
FL,12,2020,8.935811252
FL,13,2020,17.99175233
FL,14,2020,12.4288171
FL,15,2020,11.67107509
FL,16,2020,5.62762053
FL,17,2020,3.067931061
SAC,1,2020,14.37855516
SAC,2,2020,16.04297244
SAC,3,2020,21.14464733
SAC,4,2020,26.83954901
SAC,5,2020,16.65594716
SAC,6,2020,8.676584921
SAC,7,2020,4.534011085
SAC,8,2020,22.91315845
SAC,9,2020,48.51283957
SAC,10,2020,1.065424797
SAC,11,2020,1.298095057
SAC,12,2020,0.734188748
SAC,13,2020,1.928247665
SAC,14,2020,1.291182902
SAC,15,2020,0.978924911
SAC,16,2020,1.12237947
SAC,17,2020,3.082068939
ESC,1,2020,64.57
ESC,2,2020,56.57
ESC,3,2020,607.72
ESC,4,2020,186.85
ESC,5,2020,71.05
ESC,6,2020,50.24
ESC,7,2020,168.19
ESC,8,2020,18.46
ESC,9,2020,8.9
ESC,10,2020,18.35
ESC,11,2020,22.28
ESC,12,2020,30.27
ESC,13,2020,37.1
ESC,14,2020,56.19
ESC,15,2020,33.61
ESC,16,2020,34.17
ESC,17,2020,20.05
TX,1,2020,0.346153846
TX,2,2020,0.370192308
TX,3,2020,0.349358974
TX,4,2020,7.796474359
TX,5,2020,1.940705128
TX,6,2020,0.072115385
TX,7,2020,0.028846154
TX,8,2020,3.878205128
TX,9,2020,4.556089744
TX,10,2020,2.302884615
TX,12,2020,0.016025641
TX,16,2020,0.017628205
WSC,1,2020,1.813846154
WSC,2,2020,1.939807692
WSC,3,2020,1.830641026
WSC,4,2020,40.85352564
WSC,5,2020,10.16929487
WSC,6,2020,0.377884615
WSC,7,2020,0.151153846
WSC,8,2020,20.32179487
WSC,9,2020,23.87391026
WSC,10,2020,12.06711538
WSC,12,2020,0.083974359
WSC,16,2020,0.092371795
MTN,1,2020,124.22
MTN,2,2020,215.79
MTN,3,2020,96.96
MTN,4,2020,132.01
MTN,5,2020,161.87
MTN,6,2020,56.4
MTN,7,2020,39.06
MTN,8,2020,197.42
MTN,9,2020,40.46
MTN,10,2020,5.8
MTN,11,2020,11.4
MTN,12,2020,21.62
MTN,13,2020,0.6
MTN,14,2020,8.47
MTN,15,2020,1.74
MTN,16,2020,2.41
MTN,17,2020,0.85
CA,1,2020,33.80492443
CA,2,2020,114.6099751
CA,3,2020,168.6589532
CA,4,2020,81.91761778
CA,5,2020,108.6892507
CA,6,2020,42.68212092
CA,7,2020,90.03235568
CA,8,2020,36.96368146
CA,9,2020,20.26739428
CA,10,2020,21.33328027
CA,11,2020,18.70357614
CA,12,2020,19.57495739
CA,13,2020,7.453421772
CA,14,2020,2.419639009
CA,15,2020,12.44830359
CA,16,2020,5.383891301
CA,17,2020,3.174317414
PAC,1,2020,9.645075575
PAC,2,2020,32.70002492
PAC,3,2020,48.12104679
PAC,4,2020,23.37238222
PAC,5,2020,31.01074932
PAC,6,2020,12.17787908
PAC,7,2020,25.68764432
PAC,8,2020,10.54631854
PAC,9,2020,5.782605724
PAC,10,2020,6.08671973
PAC,11,2020,5.336423862
PAC,12,2020,5.585042611
PAC,13,2020,2.126578228
PAC,14,2020,0.690360991
PAC,15,2020,3.551696414
PAC,16,2020,1.536108699
PAC,17,2020,0.905682586
