region,plant_type,year,Value
NEG,col_N,2020,3718.427356
NEG,col_N,2025,3343.713248
NEG,col_N,2030,2964.692081
NEG,col_N,2035,2625.870129
NEG,col_N,2040,2625.870129
NEG,col_N,2045,2625.870129
NEG,col_N,2050,2625.870129
NEG,col_N,2075,2625.870129
NEG,col_Nccs,2020,4953.920004
NEG,col_Nccs,2025,4391.605654
NEG,col_Nccs,2030,3839.010317
NEG,col_Nccs,2035,3346.117491
NEG,col_Nccs,2040,3346.117491
NEG,col_Nccs,2045,3346.117491
NEG,col_Nccs,2050,3346.117491
NEG,col_Nccs,2075,3346.117491
NEG,ngcc_N,2020,1168.027628
NEG,ngcc_N,2025,1054.189402
NEG,ngcc_N,2030,932.0504723
NEG,ngcc_N,2035,827.6987655
NEG,ngcc_N,2040,827.6987655
NEG,ngcc_N,2045,827.6987655
NEG,ngcc_N,2050,827.6987655
NEG,ngcc_N,2075,827.6987655
NEG,ngcc_Nccs,2020,2191.724573
NEG,ngcc_Nccs,2025,1935.311113
NEG,ngcc_Nccs,2030,1678.897653
NEG,ngcc_Nccs,2035,1454.230622
NEG,ngcc_Nccs,2040,1454.230622
NEG,ngcc_Nccs,2045,1454.230622
NEG,ngcc_Nccs,2050,1454.230622
NEG,ngcc_Nccs,2075,1454.230622
NEG,ngtb_N,2020,769.3993481
NEG,ngtb_N,2025,690.6974301
NEG,ngtb_N,2030,602.5982681
NEG,ngtb_N,2035,648.4098323
NEG,ngtb_N,2040,648.4098323
NEG,ngtb_N,2045,648.4098323
NEG,ngtb_N,2050,648.4098323
NEG,ngtb_N,2075,648.4098323
NEG,nuc_N,2020,5868.354741
NEG,nuc_N,2025,5121.618593
NEG,nuc_N,2030,4533.184112
NEG,nuc_N,2035,3991.120827
NEG,nuc_N,2040,3991.120827
NEG,nuc_N,2045,3991.120827
NEG,nuc_N,2050,3991.120827
NEG,nuc_N,2075,3991.120827
NEG,bio_N,2020,4538.291133
NEG,bio_N,2025,4126.803501
NEG,bio_N,2030,3721.279458
NEG,bio_N,2035,3341.597633
NEG,bio_N,2040,3341.597633
NEG,bio_N,2045,3341.597633
NEG,bio_N,2050,3341.597633
NEG,bio_N,2075,3341.597633
NEG,lfg_N_hi,2020,2868.225
NEG,lfg_N_hi,2025,2589.99
NEG,lfg_N_hi,2030,2311.755
NEG,lfg_N_hi,2035,2311.755
NEG,lfg_N_hi,2040,2311.755
NEG,lfg_N_hi,2045,2311.755
NEG,lfg_N_hi,2050,2311.755
NEG,lfg_N_hi,2075,2311.755
NEG,lfg_N_lo,2020,3613.62
NEG,lfg_N_lo,2025,3263.25
NEG,lfg_N_lo,2030,2912.88
NEG,lfg_N_lo,2035,2912.88
NEG,lfg_N_lo,2040,2912.88
NEG,lfg_N_lo,2045,2912.88
NEG,lfg_N_lo,2050,2912.88
NEG,lfg_N_lo,2075,2912.88
NEG,lfg_N_vl,2020,5563.555
NEG,lfg_N_vl,2025,5023.6875
NEG,lfg_N_vl,2030,4483.82
NEG,lfg_N_vl,2035,4483.82
NEG,lfg_N_vl,2040,4483.82
NEG,lfg_N_vl,2045,4483.82
NEG,lfg_N_vl,2050,4483.82
NEG,lfg_N_vl,2075,4483.82
NEG,fc_N,2020,7890.546719
NEG,fc_N,2025,7095.39896
NEG,fc_N,2030,6291.111573
NEG,fc_N,2035,5572.127393
NEG,fc_N,2040,5572.127393
NEG,fc_N,2045,5572.127393
NEG,fc_N,2050,5572.127393
NEG,fc_N,2075,5572.127393
NEG,slrPV_N,2020,5444.475
NEG,slrPV_N,2025,5444.475
NEG,slrPV_N,2030,5444.475
NEG,slrPV_N,2035,5444.475
NEG,slrPV_N,2040,5444.475
NEG,slrPV_N,2045,5444.475
NEG,slrPV_N,2050,5444.475
NEG,slrPV_N,2075,5444.475
NEG,slrCSP_N,2020,5372.34
NEG,slrCSP_N,2025,5372.34
NEG,slrCSP_N,2030,5372.34
NEG,slrCSP_N,2035,5372.34
NEG,slrCSP_N,2040,5372.34
NEG,slrCSP_N,2045,5372.34
NEG,slrCSP_N,2050,5372.34
NEG,slrCSP_N,2075,5372.34
NEG,wnd_Nonsh_3,2020,2791.51
NEG,wnd_Nonsh_3,2025,2791.51
NEG,wnd_Nonsh_3,2030,2791.51
NEG,wnd_Nonsh_3,2035,2791.51
NEG,wnd_Nonsh_3,2040,2791.51
NEG,wnd_Nonsh_3,2045,2791.51
NEG,wnd_Nonsh_3,2050,2791.51
NEG,wnd_Nonsh_3,2075,2791.51
NEG,wnd_Nonsh_4,2020,2791.51
NEG,wnd_Nonsh_4,2025,2791.51
NEG,wnd_Nonsh_4,2030,2791.51
NEG,wnd_Nonsh_4,2035,2791.51
NEG,wnd_Nonsh_4,2040,2791.51
NEG,wnd_Nonsh_4,2045,2791.51
NEG,wnd_Nonsh_4,2050,2791.51
NEG,wnd_Nonsh_4,2075,2791.51
NEG,wnd_Nonsh_5,2020,2791.51
NEG,wnd_Nonsh_5,2025,2791.51
NEG,wnd_Nonsh_5,2030,2791.51
NEG,wnd_Nonsh_5,2035,2791.51
NEG,wnd_Nonsh_5,2040,2791.51
NEG,wnd_Nonsh_5,2045,2791.51
NEG,wnd_Nonsh_5,2050,2791.51
NEG,wnd_Nonsh_5,2075,2791.51
NEG,wnd_Nonsh_6,2020,2791.51
NEG,wnd_Nonsh_6,2025,2791.51
NEG,wnd_Nonsh_6,2030,2791.51
NEG,wnd_Nonsh_6,2035,2791.51
NEG,wnd_Nonsh_6,2040,2791.51
NEG,wnd_Nonsh_6,2045,2791.51
NEG,wnd_Nonsh_6,2050,2791.51
NEG,wnd_Nonsh_6,2075,2791.51
NEG,wnd_Nonsh_7,2020,2791.51
NEG,wnd_Nonsh_7,2025,2791.51
NEG,wnd_Nonsh_7,2030,2791.51
NEG,wnd_Nonsh_7,2035,2791.51
NEG,wnd_Nonsh_7,2040,2791.51
NEG,wnd_Nonsh_7,2045,2791.51
NEG,wnd_Nonsh_7,2050,2791.51
NEG,wnd_Nonsh_7,2075,2791.51
NEG,wnd_Nshal_3,2020,6841.375
NEG,wnd_Nshal_3,2025,6841.375
NEG,wnd_Nshal_3,2030,6841.375
NEG,wnd_Nshal_3,2035,6841.375
NEG,wnd_Nshal_3,2040,6841.375
NEG,wnd_Nshal_3,2045,6841.375
NEG,wnd_Nshal_3,2050,6841.375
NEG,wnd_Nshal_3,2075,6841.375
NEG,wnd_Nshal_4,2020,6841.375
NEG,wnd_Nshal_4,2025,6841.375
NEG,wnd_Nshal_4,2030,6841.375
NEG,wnd_Nshal_4,2035,6841.375
NEG,wnd_Nshal_4,2040,6841.375
NEG,wnd_Nshal_4,2045,6841.375
NEG,wnd_Nshal_4,2050,6841.375
NEG,wnd_Nshal_4,2075,6841.375
NEG,wnd_Nshal_5,2020,6841.375
NEG,wnd_Nshal_5,2025,6841.375
NEG,wnd_Nshal_5,2030,6841.375
NEG,wnd_Nshal_5,2035,6841.375
NEG,wnd_Nshal_5,2040,6841.375
NEG,wnd_Nshal_5,2045,6841.375
NEG,wnd_Nshal_5,2050,6841.375
NEG,wnd_Nshal_5,2075,6841.375
NEG,wnd_Nshal_6,2020,6841.375
NEG,wnd_Nshal_6,2025,6841.375
NEG,wnd_Nshal_6,2030,6841.375
NEG,wnd_Nshal_6,2035,6841.375
NEG,wnd_Nshal_6,2040,6841.375
NEG,wnd_Nshal_6,2045,6841.375
NEG,wnd_Nshal_6,2050,6841.375
NEG,wnd_Nshal_6,2075,6841.375
NEG,wnd_Nshal_7,2020,6841.375
NEG,wnd_Nshal_7,2025,6841.375
NEG,wnd_Nshal_7,2030,6841.375
NEG,wnd_Nshal_7,2035,6841.375
NEG,wnd_Nshal_7,2040,6841.375
NEG,wnd_Nshal_7,2045,6841.375
NEG,wnd_Nshal_7,2050,6841.375
NEG,wnd_Nshal_7,2075,6841.375
NEG,wnd_Ndeep_3,2020,6841.375
NEG,wnd_Ndeep_3,2025,6841.375
NEG,wnd_Ndeep_3,2030,6841.375
NEG,wnd_Ndeep_3,2035,6841.375
NEG,wnd_Ndeep_3,2040,6841.375
NEG,wnd_Ndeep_3,2045,6841.375
NEG,wnd_Ndeep_3,2050,6841.375
