"region","plant_type_full","Value"
"CA","bio_X",30
"CA","col_X1",19
"CA","col_X2",1
"CA","col_X3",38
"CA","geo_X",31
"CA","hyd_X",225
"CA","msw_X",10
"CA","ngcc_X1",234
"CA","ngcc_X2",12
"CA","ngcc_X3",4
"CA","ngtb_X1",154
"CA","ngtb_X2",61
"CA","ngtb_X3",49
"CA","nuc_X",1
"CA","oth_X",100
"CA","slr_X",583
"CA","stog_X1",2
"CA","stog_X2",4
"CA","wnd_X",115
"ENC","bio_X",38
"ENC","col_X1",247
"ENC","col_X2",173
"ENC","col_X3",70
"ENC","hyd_X",137
"ENC","msw_X",30
"ENC","ngcc_X1",196
"ENC","ngcc_X3",11
"ENC","ngtb_X1",155
"ENC","ngtb_X2",139
"ENC","ngtb_X3",142
"ENC","nuc_X",12
"ENC","oth_X",23
"ENC","slr_X",142
"ENC","stog_X2",1
"ENC","wnd_X",107
"ESC","bio_X",52
"ESC","col_X1",109
"ESC","col_X2",92
"ESC","col_X3",8
"ESC","hyd_X",61
"ESC","msw_X",2
"ESC","ngcc_X1",145
"ESC","ngcc_X2",2
"ESC","ngcc_X3",1
"ESC","ngtb_X1",19
"ESC","ngtb_X2",29
"ESC","ngtb_X3",19
"ESC","nuc_X",5
"ESC","oth_X",13
"ESC","slr_X",35
"ESC","stog_X2",1
"ESC","wnd_X",1
"FL","bio_X",31
"FL","col_X1",48
"FL","col_X2",34
"FL","col_X3",27
"FL","hyd_X",1
"FL","msw_X",67
"FL","ngcc_X1",143
"FL","ngcc_X2",4
"FL","ngcc_X3",7
"FL","ngtb_X1",23
"FL","ngtb_X2",18
"FL","ngtb_X3",28
"FL","nuc_X",2
"FL","oth_X",6
"FL","slr_X",64
"MID","bio_X",4
"MID","col_X1",48
"MID","col_X2",25
"MID","col_X3",40
"MID","hyd_X",18
"MID","msw_X",61
"MID","ngcc_X1",161
"MID","ngcc_X2",12
"MID","ngtb_X1",59
"MID","ngtb_X2",53
"MID","ngtb_X3",44
"MID","nuc_X",6
"MID","oth_X",13
"MID","slr_X",267
"MID","stog_X2",3
"MID","wnd_X",28
"MTN","bio_X",8
"MTN","col_X1",51
"MTN","col_X2",88
"MTN","col_X3",39
"MTN","geo_X",32
"MTN","hyd_X",204
"MTN","ngcc_X1",197
"MTN","ngcc_X2",1
"MTN","ngtb_X1",50
"MTN","ngtb_X2",49
"MTN","ngtb_X3",38
"MTN","nuc_X",1
"MTN","oth_X",11
"MTN","slr_X",317
"MTN","stog_X1",2
"MTN","stog_X2",4
"MTN","wnd_X",128
"NEG","bio_X",31
"NEG","col_X1",56
"NEG","col_X2",10
"NEG","col_X3",55
"NEG","hyd_X",169
"NEG","msw_X",67
"NEG","ngcc_X1",121
"NEG","ngcc_X2",4
"NEG","ngcc_X3",2
"NEG","ngtb_X1",74
"NEG","ngtb_X2",27
"NEG","ngtb_X3",40
"NEG","nuc_X",2
"NEG","oth_X",35
"NEG","slr_X",419
"NEG","stog_X1",1
"NEG","stog_X2",2
"NEG","wnd_X",67
"NY","bio_X",9
"NY","col_X1",30
"NY","col_X2",15
"NY","col_X3",31
"NY","hyd_X",160
"NY","msw_X",44
"NY","ngcc_X1",117
"NY","ngtb_X1",57
"NY","ngtb_X2",34
"NY","ngtb_X3",43
"NY","nuc_X",5
"NY","oth_X",11
"NY","slr_X",156
"NY","stog_X2",2
"NY","wnd_X",27
"PAC","bio_X",31
"PAC","col_X1",21
"PAC","col_X2",9
"PAC","col_X3",2
"PAC","geo_X",1
"PAC","hyd_X",134
"PAC","msw_X",8
"PAC","ngcc_X1",54
"PAC","ngtb_X1",12
"PAC","ngtb_X2",13
"PAC","ngtb_X3",6
"PAC","nuc_X",1
"PAC","oth_X",5
"PAC","slr_X",58
"PAC","stog_X1",1
"PAC","wnd_X",62
"SAC","bio_X",103
"SAC","col_X1",180
"SAC","col_X2",68
"SAC","col_X3",89
"SAC","hyd_X",135
"SAC","msw_X",49
"SAC","ngcc_X1",146
"SAC","ngcc_X2",4
"SAC","ngcc_X3",14
"SAC","ngtb_X1",99
"SAC","ngtb_X2",111
"SAC","ngtb_X3",105
"SAC","nuc_X",12
"SAC","oth_X",16
"SAC","slr_X",826
"SAC","stog_X1",1
"SAC","stog_X2",8
"SAC","wnd_X",13
"TX","bio_X",18
"TX","col_X1",45
"TX","col_X2",90
"TX","col_X3",46
"TX","hyd_X",20
"TX","msw_X",1
"TX","ngcc_X1",376
"TX","ngcc_X2",4
"TX","ngcc_X3",4
"TX","ngtb_X1",53
"TX","ngtb_X2",24
"TX","ngtb_X3",31
"TX","nuc_X",2
"TX","oth_X",12
"TX","slr_X",61
"TX","wnd_X",175
"WNC","bio_X",25
"WNC","col_X1",124
"WNC","col_X2",86
"WNC","col_X3",63
"WNC","hyd_X",51
"WNC","msw_X",14
"WNC","ngcc_X1",53
"WNC","ngcc_X3",3
"WNC","ngtb_X1",209
"WNC","ngtb_X2",167
"WNC","ngtb_X3",161
"WNC","nuc_X",6
"WNC","oth_X",11
"WNC","slr_X",285
"WNC","stog_X1",2
"WNC","stog_X2",1
"WNC","wnd_X",348
"WSC","bio_X",41
"WSC","col_X1",91
"WSC","col_X2",50
"WSC","col_X3",53
"WSC","hyd_X",29
"WSC","msw_X",14
"WSC","ngcc_X1",150
"WSC","ngtb_X1",38
"WSC","ngtb_X2",22
"WSC","ngtb_X3",10
"WSC","nuc_X",3
"WSC","oth_X",3
"WSC","slr_X",15
"WSC","stog_X1",1
"WSC","stog_X2",1
"WSC","wnd_X",52
