region,year,Value
NEG,2020,1.06109644
NEG,2025,1.05946337
NEG,2030,1.059787241
NEG,2035,1.059789006
NEG,2040,1.059789006
NEG,2045,1.059789006
NEG,2050,1.059789006
NEG,2075,1.059789006
NY,2020,1.059831781
NY,2025,1.058021105
NY,2030,1.05810687
NY,2035,1.058508103
NY,2040,1.058508103
NY,2045,1.058508103
NY,2050,1.058508103
NY,2075,1.058508103
MID,2020,1.055058881
MID,2025,1.053139453
MID,2030,1.053494631
MID,2035,1.053950059
MID,2040,1.053950059
MID,2045,1.053950059
MID,2050,1.053950059
MID,2075,1.053950059
ENC,2020,1.05486348
ENC,2025,1.053067263
ENC,2030,1.053143675
ENC,2035,1.05315378
ENC,2040,1.05315378
ENC,2045,1.05315378
ENC,2050,1.05315378
ENC,2075,1.05315378
WNC,2020,1.060606742
WNC,2025,1.058733662
WNC,2030,1.058772147
WNC,2035,1.058705866
WNC,2040,1.058705866
WNC,2045,1.058705866
WNC,2050,1.058705866
WNC,2075,1.058705866
FL,2020,1.051122522
FL,2025,1.049983382
FL,2030,1.050173398
FL,2035,1.050413017
FL,2040,1.050413017
FL,2045,1.050413017
FL,2050,1.050413017
FL,2075,1.050413017
SAC,2020,1.053400134
SAC,2025,1.051191651
SAC,2030,1.051254831
SAC,2035,1.051337253
SAC,2040,1.051337253
SAC,2045,1.051337253
SAC,2050,1.051337253
SAC,2075,1.051337253
ESC,2020,1.053654006
ESC,2025,1.051471286
ESC,2030,1.051505869
ESC,2035,1.051521461
ESC,2040,1.051521461
ESC,2045,1.051521461
ESC,2050,1.051521461
ESC,2075,1.051521461
TX,2020,1.05122094
TX,2025,1.049697876
TX,2030,1.049727502
TX,2035,1.049720361
TX,2040,1.049720361
TX,2045,1.049720361
TX,2050,1.049720361
TX,2075,1.049720361
WSC,2020,1.055856043
WSC,2025,1.053653958
WSC,2030,1.053578157
WSC,2035,1.053616553
WSC,2040,1.053616553
WSC,2045,1.053616553
WSC,2050,1.053616553
WSC,2075,1.053616553
MTN,2020,1.071398094
MTN,2025,1.069965352
MTN,2030,1.070338982
MTN,2035,1.070626694
MTN,2040,1.070626694
MTN,2045,1.070626694
MTN,2050,1.070626694
MTN,2075,1.070626694
CA,2020,1.074127649
CA,2025,1.072270149
CA,2030,1.072001841
CA,2035,1.07111657
CA,2040,1.07111657
CA,2045,1.07111657
CA,2050,1.07111657
CA,2075,1.07111657
PAC,2020,1.069957089
PAC,2025,1.068567558
PAC,2030,1.068713796
PAC,2035,1.068759718
PAC,2040,1.068759718
PAC,2045,1.068759718
PAC,2050,1.068759718
PAC,2075,1.068759718
