"region","plant_type_full","Value"
"CA","bio_X",136.69336811052
"CA","col_X1",78.8817952116462
"CA","col_X2",0
"CA","col_X3",74.9864649879374
"CA","geo_X",155.811743458071
"CA","hyd_X",92.361101576512
"CA","msw_X",2.84563679966443
"CA","ngcc_X1",13.4526060127653
"CA","ngcc_X2",13.8882277879023
"CA","ngcc_X3",17.7072850996055
"CA","ngtb_X1",11.5481187854057
"CA","ngtb_X2",11.3864847821714
"CA","ngtb_X3",14.849680540058
"CA","nuc_X",131.239238527766
"CA","oth_X",1.05084656204156
"CA","slr_X",25.8487754979093
"CA","stog_X1",0
"CA","stog_X2",0
"CA","wnd_X",47.6538110137914
"ENC","bio_X",198.522323596842
"ENC","col_X1",97.4270946664555
"ENC","col_X2",85.0332521469314
"ENC","col_X3",83.4298821779949
"ENC","hyd_X",92.6869600548664
"ENC","msw_X",4.62426938566751
"ENC","ngcc_X1",12.8267658742622
"ENC","ngcc_X3",12.8357669575214
"ENC","ngtb_X1",11.3821244789036
"ENC","ngtb_X2",12.1830946678987
"ENC","ngtb_X3",14.2946101110236
"ENC","nuc_X",131.239238504839
"ENC","oth_X",2.61663096898486
"ENC","slr_X",20.6915296000379
"ENC","stog_X2",0
"ENC","wnd_X",47.6538110146632
"ESC","bio_X",262.177162950882
"ESC","col_X1",80.203633474376
"ESC","col_X2",97.0180656334206
"ESC","col_X3",67.5064828545031
"ESC","hyd_X",91.9650197135983
"ESC","msw_X",0.992664
"ESC","ngcc_X1",12.8849084714505
"ESC","ngcc_X2",20.6877785203252
"ESC","ngcc_X3",24.7522524
"ESC","ngtb_X1",11.0474590680482
"ESC","ngtb_X2",10.9531308017055
"ESC","ngtb_X3",14.3833511963652
"ESC","nuc_X",131.239238504174
"ESC","oth_X",1.72164849391896
"ESC","slr_X",20.6915295992638
"ESC","stog_X2",0
"ESC","wnd_X",47.653811
"FL","bio_X",224.947457957638
"FL","col_X1",82.2852164323155
"FL","col_X2",104.517248254026
"FL","col_X3",97.7295840086174
"FL","hyd_X",92.686960045977
"FL","msw_X",9.59440276906774
"FL","ngcc_X1",12.6779778841672
"FL","ngcc_X2",12.6672284179912
"FL","ngcc_X3",32.4709857594629
"FL","ngtb_X1",11.0474590682347
"FL","ngtb_X2",11.5734286123974
"FL","ngtb_X3",16.1234600911526
"FL","nuc_X",131.239238517855
"FL","oth_X",52.4323002402235
