"region","plant_type_full","year","Value"
"CA","bio_X",2020,15665.1752796957
"CA","col_X1",2020,7006.28290627273
"CA","col_X3",2020,18943.39475
"CA","geo_X",2020,8904.00093770968
"CA","hyd_X",2020,8904.54340826027
"CA","msw_X",2020,19509.069885
"CA","ngcc_X1",2020,7451.44110463636
"CA","ngcc_X2",2020,11155.409565
"CA","ngcc_X3",2020,13664.631365
"CA","ngtb_X1",2020,7739.25276644444
"CA","ngtb_X2",2020,11829.0905539216
"CA","ngtb_X3",2020,16013.1392695652
"CA","nuc_X",2020,10444.55925
"CA","oth_X",2020,8808.91337532911
"CA","slr_X",2020,8904.0019645282
"CA","stog_X1",2020,0
"CA","wnd_X",2020,8904.02735798305
"ENC","bio_X",2020,10040.1870281818
"ENC","col_X1",2020,5808.55579845455
"ENC","col_X2",2020,11059.7613566038
"ENC","col_X3",2020,20669.9598426923
"ENC","hyd_X",2020,8904.12862571533
"ENC","msw_X",2020,11431.2905721429
"ENC","ngcc_X1",2020,7064.94178385366
"ENC","ngcc_X3",2020,14776.73261
"ENC","ngtb_X1",2020,8629.47263864583
"ENC","ngtb_X2",2020,11894.5239138202
"ENC","ngtb_X3",2020,41596.0321955462
"ENC","nuc_X",2020,10441.6088083333
"ENC","oth_X",2020,6879.3927006
"ENC","slr_X",2020,8904.69643475352
"ENC","wnd_X",2020,8903.90028057407
"ESC","bio_X",2020,6943.73119247619
"ESC","col_X1",2020,6522.10902559259
"ESC","col_X2",2020,11168.9799257143
"ESC","col_X3",2020,12983.3882783333
"ESC","hyd_X",2020,8903.99590756667
"ESC","msw_X",2020,5178.5056085
"ESC","ngcc_X1",2020,6739.26477193548
"ESC","ngcc_X2",2020,11348.3871
"ESC","ngcc_X3",2020,21443.93593
"ESC","ngtb_X1",2020,8098.185472
"ESC","ngtb_X2",2020,11987.2483503846
"ESC","ngtb_X3",2020,22826.5998075
"ESC","nuc_X",2020,10444.585056
"ESC","oth_X",2020,5139.94802633333
"ESC","slr_X",2020,8906.67534297143
"ESC","wnd_X",2020,8903.965663
"FL","bio_X",2020,11142.7195698182
"FL","col_X1",2020,6267.02254225
"FL","col_X2",2020,10930.466473
"FL","col_X3",2020,22365.16706
"FL","hyd_X",2020,8904.056627
"FL","msw_X",2020,20699.0381539231
"FL","ngcc_X1",2020,7339.08881721212
"FL","ngcc_X2",2020,11965.810155
"FL","ngcc_X3",2020,16983.527225
"FL","ngtb_X1",2020,7905.9901502381
"FL","ngtb_X2",2020,11581.2685276923
"FL","ngtb_X3",2020,26592.2242547826
"FL","nuc_X",2020,10444.913765
"FL","oth_X",2020,6576.5914325
"FL","slr_X",2020,8903.93446770312
"MID","bio_X",2020,7745.72334166667
"MID","col_X1",2020,5605.2950434
"MID","col_X2",2020,11146.2716266667
"MID","col_X3",2020,16330.4448266667
"MID","hyd_X",2020,8904.00891466667
"MID","msw_X",2020,18330.5092025833
"MID","ngcc_X1",2020,7583.4512006
"MID","ngcc_X2",2020,11336.05958
"MID","ngtb_X1",2020,8540.93252158
"MID","ngtb_X2",2020,11806.0023368293
"MID","ngtb_X3",2020,23456.3143929268
"MID","nuc_X",2020,10442.5255542857
"MID","oth_X",2020,6282.8177676
"MID","slr_X",2020,8911.85547618727
"MID","wnd_X",2020,8904.02696307143
"MTN","bio_X",2020,9682.49874383333
"MTN","col_X1",2020,5920.02225578947
"MTN","col_X2",2020,10888.2987511429
"MTN","col_X3",2020,15464.647686
"MTN","geo_X",2020,8903.99531451515
"MTN","hyd_X",2020,8907.78177039409
"MTN","ngcc_X1",2020,7564.56667562
"MTN","ngcc_X2",2020,12704.43737
"MTN","ngtb_X1",2020,8764.83625846939
"MTN","ngtb_X2",2020,11981.7068946341
"MTN","ngtb_X3",2020,21247.9387540625
"MTN","nuc_X",2020,10441.60882
"MTN","oth_X",2020,8710.7908785
"MTN","slr_X",2020,8903.99689092114
"MTN","stog_X1",2020,0
"MTN","wnd_X",2020,8903.99756995312
"NEG","bio_X",2020,13696.637193125
"NEG","col_X1",2020,4813.191406
"NEG","col_X2",2020,11539.55466
"NEG","col_X3",2020,19421.068925
"NEG","hyd_X",2020,8903.98807424118
"NEG","msw_X",2020,19937.1728002941
"NEG","ngcc_X1",2020,7653.2135425641
"NEG","ngcc_X2",2020,11480.01234
"NEG","ngcc_X3",2020,13247.02608
"NEG","ngtb_X1",2020,7342.75568416129
"NEG","ngtb_X2",2020,11823.7362461538
"NEG","ngtb_X3",2020,37181.8213364865
"NEG","nuc_X",2020,10441.60868
"NEG","oth_X",2020,7014.83186725
"NEG","slr_X",2020,8904.05264886429
"NEG","stog_X1",2020,0
"NEG","wnd_X",2020,8920.55810432836
"NY","bio_X",2020,10093.6362473333
"NY","col_X1",2020,6284.13937325
"NY","col_X2",2020,11334.4475628571
"NY","col_X3",2020,19476.6500915385
"NY","hyd_X",2020,8904.00548976875
"NY","msw_X",2020,19154.2706004
"NY","ngcc_X1",2020,8127.98222610526
"NY","ngtb_X1",2020,8728.80976958929
"NY","ngtb_X2",2020,11819.4039979167
"NY","ngtb_X3",2020,106680.63112575
"NY","nuc_X",2020,10441.608792
"NY","oth_X",2020,7081.68352866667
"NY","slr_X",2020,8904.05022867949
"NY","wnd_X",2020,8903.84813203704
"PAC","bio_X",2020,7781.8724215625
"PAC","col_X1",2020,4783.21584971429
"PAC","col_X2",2020,10932.4479733333
"PAC","col_X3",2020,25737.26542
"PAC","geo_X",2020,8903.998792
"PAC","hyd_X",2020,8904.00124892481
"PAC","msw_X",2020,23335.15532
"PAC","ngcc_X1",2020,7563.98081852632
"PAC","ngtb_X1",2020,8164.1441008
"PAC","ngtb_X2",2020,11893.8797363636
"PAC","ngtb_X3",2020,14800.3756575
"PAC","nuc_X",2020,10441.6088
"PAC","oth_X",2020,4835.281629
"PAC","slr_X",2020,8903.95995355172
"PAC","stog_X1",2020,0
"PAC","wnd_X",2020,8904.00826585484
"SAC","bio_X",2020,9489.72943310417
"SAC","col_X1",2020,6030.25508306122
"SAC","col_X2",2020,10795.83874125
"SAC","col_X3",2020,18208.4655944
"SAC","hyd_X",2020,8904.02658178788
"SAC","msw_X",2020,13360.8595122727
"SAC","ngcc_X1",2020,7364.945634525
"SAC","ngcc_X2",2020,12096.48439
"SAC","ngcc_X3",2020,21676.58445
"SAC","ngtb_X1",2020,8887.03925492222
"SAC","ngtb_X2",2020,11769.6726086765
"SAC","ngtb_X3",2020,58828.9345851136
"SAC","nuc_X",2020,10441.6087791667
"SAC","oth_X",2020,6081.2156859
"SAC","slr_X",2020,8907.81988228658
"SAC","stog_X1",2020,0
"SAC","wnd_X",2020,8904.00061
"TX","bio_X",2020,20093.0107441667
"TX","col_X1",2020,5896.88207286667
"TX","col_X2",2020,11094.3172770833
"TX","col_X3",2020,14144.367686
"TX","hyd_X",2020,8904.02624395
"TX","msw_X",2020,5773.820571
"TX","ngcc_X1",2020,7131.00191319118
"TX","ngcc_X2",2020,11687.42183
"TX","ngcc_X3",2020,13498.64806
"TX","ngtb_X1",2020,7710.96397698039
"TX","ngtb_X2",2020,11628.6098433333
"TX","ngtb_X3",2020,23675.5798207143
"TX","nuc_X",2020,10441.60877
"TX","oth_X",2020,8903.9977615
"TX","slr_X",2020,8904.03266859016
"TX","wnd_X",2020,8902.26805779545
"WNC","bio_X",2020,9703.37763353846
"WNC","col_X1",2020,6350.75078457143
"WNC","col_X2",2020,10950.2384727778
"WNC","col_X3",2020,22414.2499724242
"WNC","hyd_X",2020,8903.82283
"WNC","msw_X",2020,18320.8025454
"WNC","ngcc_X1",2020,7541.12117980952
"WNC","ngcc_X3",2020,14913.50098
"WNC","ngtb_X1",2020,8748.11253924852
"WNC","ngtb_X2",2020,11908.0268989655
"WNC","ngtb_X3",2020,73503.7997737097
"WNC","nuc_X",2020,10444.3349333333
"WNC","oth_X",2020,4647.8680296
"WNC","slr_X",2020,8900.86113028322
"WNC","stog_X1",2020,0
"WNC","wnd_X",2020,8904.01978773925
"WSC","bio_X",2020,7104.99957553333
"WSC","col_X1",2020,6139.65829524138
"WSC","col_X2",2020,11163.64577
"WSC","col_X3",2020,14630.2847164706
"WSC","hyd_X",2020,8903.99531365517
"WSC","msw_X",2020,8804.563226
"WSC","ngcc_X1",2020,7423.79214163636
"WSC","ngcc_X3",2020,45787.56384
"WSC","ngtb_X1",2020,7304.99565157576
"WSC","ngtb_X2",2020,11935.626419
"WSC","ngtb_X3",2020,99261.280255
"WSC","nuc_X",2020,10449.98491
"WSC","oth_X",2020,8904.005024
"WSC","slr_X",2020,8904.06570646667
"WSC","stog_X1",2020,0
"WSC","wnd_X",2020,8903.99931340385
"NEG","col_N",2020,8373.687963
"NEG","col_Nccs",2020,11311.56665
"NEG","ngcc_N",2020,6330.245483
"NEG","ngcc_Nccs",2020,7280.36979
