region,biostep,year,Value
NEG,1,2020,1.742534434
NEG,1,2025,1.742534434
NEG,1,2030,1.742534434
NEG,1,2035,1.83825949
NEG,1,2040,1.857311698
NEG,1,2045,1.874177084
NEG,1,2050,1.890259135
NEG,1,2075,1.972763194
NEG,2,2020,2.020484711
NEG,2,2025,2.020484711
NEG,2,2030,2.020484711
NEG,2,2035,2.131478796
NEG,2,2040,2.153570005
NEG,2,2045,2.173125576
NEG,2,2050,2.191772862
NEG,2,2075,2.287437078
NEG,3,2020,2.287744594
NEG,3,2025,2.287744594
NEG,3,2030,2.287744594
NEG,3,2035,2.413420435
NEG,3,2040,2.438433763
NEG,3,2045,2.460576049
NEG,3,2050,2.481689908
NEG,3,2075,2.59000812
NEG,4,2020,2.565694871
NEG,4,2025,2.565694871
NEG,4,2030,2.565694871
NEG,4,2035,2.70663974
NEG,4,2040,2.73469207
NEG,4,2045,2.759524541
NEG,4,2050,2.783203635
NEG,4,2075,2.904682003
NEG,5,2020,2.832954754
NEG,5,2025,2.832954754
NEG,5,2030,2.832954754
NEG,5,2035,2.98858138
NEG,5,2040,3.019555828
NEG,5,2045,3.046975014
NEG,5,2050,3.07312068
NEG,5,2075,3.207253045
NEG,6,2020,3.110905032
NEG,6,2025,3.110905032
NEG,6,2030,3.110905032
NEG,6,2035,3.281800685
NEG,6,2040,3.315814135
NEG,6,2045,3.345923506
NEG,6,2050,3.374634407
NEG,6,2075,3.521926929
NEG,7,2020,3.378164914
NEG,7,2025,3.378164914
NEG,7,2030,3.378164914
NEG,7,2035,3.563742325
NEG,7,2040,3.600677893
NEG,7,2045,3.633373979
NEG,7,2050,3.664551453
NEG,7,2075,3.824497971
NEG,8,2020,3.656115192
NEG,8,2025,3.656115192
NEG,8,2030,3.656115192
NEG,8,2035,3.85696163
NEG,8,2040,3.8969362
NEG,8,2045,3.932322471
NEG,8,2050,3.96606518
NEG,8,2075,4.139171855
NEG,9,2020,3.923375074
NEG,9,2025,3.923375074
NEG,9,2030,3.923375074
NEG,9,2035,4.13890327
NEG,9,2040,4.181799958
NEG,9,2045,4.219772944
NEG,9,2050,4.255982225
NEG,9,2075,4.441742897
NEG,10,2020,4.201325352
NEG,10,2025,2.100662676
NEG,11,2020,4.468585234
NEG,11,2025,4.468585234
NEG,11,2030,4.468585234
NEG,11,2035,4.714064214
NEG,11,2040,4.762922023
NEG,11,2045,4.806171909
NEG,11,2050,4.847412997
NEG,11,2075,5.058987822
NEG,12,2020,4.746535512
NEG,12,2025,4.746535512
NEG,12,2030,4.746535512
NEG,12,2035,5.00728352
NEG,12,2040,5.05918033
NEG,12,2045,5.105120401
NEG,12,2050,5.148926724
NEG,12,2075,5.373661706
NEG,13,2020,5.013795395
NEG,13,2025,5.013795395
NEG,13,2030,5.013795395
NEG,13,2035,5.289225159
NEG,13,2040,5.344044088
NEG,13,2045,5.392570874
NEG,13,2050,5.43884377
NEG,13,2075,5.676232748
NEG,14,2020,5.291745672
NEG,14,2025,5.291745672
NEG,14,2030,5.291745672
NEG,14,2035,5.582444464
NEG,14,2040,5.640302395
NEG,14,2045,5.691519366
NEG,14,2050,5.740357497
NEG,14,2075,5.990906632
NEG,15,2020,5.559005555
NEG,15,2025,5.559005555
NEG,15,2030,5.559005555
NEG,15,2035,5.864386104
NEG,15,2040,5.925166152
NEG,15,2045,5.978969839
NEG,15,2050,6.030274542
NEG,15,2075,6.293477674
NEG,16,2020,5.836955832
NEG,16,2025,2.918477916
NEG,17,2020,6.104215715
NEG,17,2025,3.052107857
NY,1,2020,1.742534434
NY,1,2025,1.742534434
NY,1,2030,1.742534434
NY,1,2035,1.769427249
NY,1,2040,1.787766061
NY,1,2045,1.803999935
NY,1,2050,1.819479806
NY,1,2075,1.898894562
NY,2,2020,2.020484711
NY,2,2025,2.020484711
NY,2,2030,2.020484711
NY,2,2035,2.051667178
NY,2,2040,2.072931199
NY,2,2045,2.091754526
NY,2,2050,2.109703579
NY,2,2075,2.20178572
NY,3,2020,2.287744594
NY,3,2025,2.287744594
NY,3,2030,2.287744594
NY,3,2035,2.323051725
NY,3,2040,2.347128448
NY,3,2045,2.368441633
NY,3,2050,2.388764899
NY,3,2075,2.493027217
NY,4,2020,2.565694871
NY,4,2025,2.565694871
NY,4,2030,2.565694871
NY,4,2035,2.605291654
NY,4,2040,2.632293586
NY,4,2045,2.656196224
NY,4,2050,2.678988672
NY,4,2075,2.795918374
NY,5,2020,2.832954754
NY,5,2025,2.832954754
NY,5,2030,2.832954754
NY,5,2035,2.876676202
NY,5,2040,2.906490835
NY,5,2045,2.93288333
NY,5,2050,2.958049992
NY,5,2075,3.087159871
NY,6,2020,3.110905032
NY,6,2025,3.110905032
NY,6,2030,3.110905032
NY,6,2035,3.158916131
NY,6,2040,3.191655973
NY,6,2045,3.220637921
NY,6,2050,3.248273764
NY,6,2075,3.390051029
NY,7,2020,3.378164914
NY,7,2025,3.378164914
NY,7,2030,3.378164914
NY,7,2035,3.430300678
NY,7,2040,3.465853222
NY,7,2045,3.497325028
NY,7,2050,3.527335084
NY,7,2075,3.681292526
NY,8,2020,3.656115192
NY,8,2025,3.656115192
NY,8,2030,3.656115192
NY,8,2035,3.712540608
NY,8,2040,3.75101836
NY,8,2045,3.785079619
NY,8,2050,3.817558857
NY,8,2075,3.984183683
NY,9,2020,3.923375074
NY,9,2025,3.923375074
NY,9,2030,3.923375074
NY,9,2035,3.983925155
NY,9,2040,4.025215609
NY,9,2045,4.061766726
NY,9,2050,4.096620177
NY,9,2075,4.27542518
NY,14,2025,2.645872836
NY,14,2030,5.291745672
NY,14,2035,5.373414037
NY,14,2040,5.429105521
NY,14,2045,5.478404712
NY,14,2050,5.525414135
NY,14,2075,5.766581646
MID,1,2020,1.742534434
MID,1,2025,1.742534434
MID,1,2030,1.742534434
MID,1,2035,1.769427249
MID,1,2040,1.786765288
MID,1,2045,1.802424017
MID,1,2050,1.817493788
MID,1,2075,1.894753781
MID,2,2020,2.020484711
MID,2,2025,2.020484711
MID,2,2030,2.020484711
MID,2,2035,2.051667178
MID,2,2040,2.071770794
MID,2,2045,2.089927235
MID,2,2050,2.107400773
MID,2,2075,2.196984446
MID,3,2020,2.287744594
MID,3,2025,2.287744594
MID,3,2030,2.287744594
MID,3,2035,2.323051725
MID,3,2040,2.34581455
MID,3,2045,2.366372636
MID,3,2050,2.386157489
MID,3,2075,2.487590854
MID,4,2020,2.565694871
MID,4,2025,2.565694871
MID,4,2030,2.565694871
MID,4,2035,2.605291654
MID,4,2040,2.630820056
MID,4,2045,2.653875854
MID,4,2050,2.676064474
MID,4,2075,2.789821519
MID,5,2020,2.832954754
MID,5,2025,2.832954754
MID,5,2030,2.832954754
MID,5,2035,2.876676202
MID,5,2040,2.904863812
MID,5,2045,2.930321255
MID,5,2050,2.95482119
MID,5,2075,3.080427927
MID,6,2020,3.110905032
MID,6,2025,3.110905032
MID,6,2030,3.110905032
MID,6,2035,3.158916131
MID,6,2040,3.189869318
MID,6,2045,3.217824473
MID,6,2050,3.244728174
MID,6,2075,3.382658591
MID,7,2020,3.378164914
MID,7,2025,3.378164914
MID,7,2030,3.378164914
MID,7,2035,3.430300678
MID,7,2040,3.463913074
MID,7,2045,3.494269874
MID,7,2050,3.52348489
MID,7,2075,3.673265
MID,8,2020,3.656115192
MID,8,2025,3.656115192
MID,8,2030,3.656115192
MID,8,2035,3.712540608
MID,8,2040,3.74891858
MID,8,2045,3.781773092
MID,8,2050,3.813391875
MID,8,2075,3.975495664
MID,9,2020,3.923375074
MID,9,2025,3.923375074
MID,9,2030,3.923375074
MID,9,2035,3.983925155
MID,9,2040,4.022962336
MID,9,2045,4.058218493
MID,9,2050,4.092148591
MID,9,2075,4.266102072
MID,14,2025,2.645872836
MID,14,2030,5.291745672
MID,14,2035,5.373414037
MID,14,2040,5.426066366
MID,14,2045,5.473618949
MID,14,2050,5.519382977
MID,14,2075,5.754006882
ENC,1,2020,1.742534434
ENC,1,2025,1.742534434
ENC,1,2030,1.742534434
ENC,1,2035,1.791585666
ENC,1,2040,1.815807891
ENC,1,2045,1.835503997
ENC,1,2050,1.853505499
ENC,1,2075,1.946196108
ENC,2,2020,2.020484711
ENC,2,2025,2.020484711
ENC,2,2030,2.020484711
ENC,2,2035,2.077360066
ENC,2,2040,2.10544596
ENC,2,2045,2.128283776
ENC,2,2050,2.149156683
ENC,2,2075,2.256632297
ENC,3,2020,2.287744594
ENC,3,2025,2.287744594
ENC,3,2030,2.287744594
ENC,3,2035,2.352143144
ENC,3,2040,2.383944103
ENC,3,2045,2.409802794
ENC,3,2050,2.433436667
ENC,3,2075,2.555128632
ENC,4,2020,2.565694871
ENC,4,2025,2.565694871
ENC,4,2030,2.565694871
ENC,4,2035,2.637917545
ENC,4,2040,2.673582171
ENC,4,2045,2.702582573
ENC,4,2050,2.729087851
ENC,4,2075,2.865564821
ENC,5,2020,2.832954754
ENC,5,2025,2.832954754
ENC,5,2030,2.832954754
ENC,5,2035,2.912700622
ENC,5,2040,2.952080314
ENC,5,2045,2.98410159
ENC,5,2050,3.013367835
ENC,5,2075,3.164061157
ENC,6,2020,3.110905032
ENC,6,2025,3.110905032
ENC,6,2030,3.110905032
ENC,6,2035,3.198475023
ENC,6,2040,3.241718383
ENC,6,2045,3.276881369
ENC,6,2050,3.309019019
ENC,6,2075,3.474497346
ENC,7,2020,3.378164914
ENC,7,2025,3.378164914
ENC,7,2030,3.378164914
ENC,7,2035,3.4732581
ENC,7,2040,3.520216525
ENC,7,2045,3.558400387
ENC,7,2050,3.593299004
ENC,7,2075,3.772993682
ENC,8,2020,3.656115192
ENC,8,2025,3.656115192
ENC,8,2030,3.656115192
ENC,8,2035,3.759032501
ENC,8,2040,3.809854594
ENC,8,2045,3.851180166
ENC,8,2050,3.888950188
ENC,8,2075,4.083429871
ENC,9,2020,3.923375074
ENC,9,2025,3.923375074
ENC,9,2030,3.923375074
ENC,9,2035,4.033815579
ENC,9,2040,4.088352737
ENC,9,2045,4.132699184
ENC,9,2050,4.173230172
ENC,9,2075,4.381926206
ENC,10,2020,4.201325352
ENC,10,2025,4.201325352
ENC,10,2030,4.201325352
ENC,10,2035,4.319589979
ENC,10,2040,4.377990805
ENC,10,2045,4.425478962
ENC,10,2050,4.468881356
ENC,10,2075,4.692362395
ENC,11,2020,4.468585234
ENC,11,2025,4.468585234
ENC,11,2030,4.468585234
ENC,11,2035,4.594373057
ENC,11,2040,4.656488948
ENC,11,2045,4.70699798
ENC,11,2050,4.75316134
ENC,11,2075,4.990858731
ENC,12,2020,4.746535512
ENC,12,2025,4.746535512
ENC,12,2030,4.746535512
ENC,12,2035,4.880147458
ENC,12,2040,4.946127017
ENC,12,2045,4.999777759
ENC,12,2050,5.048812524
ENC,12,2075,5.30129492
ENC,13,2020,5.013795395
ENC,13,2025,5.013795395
ENC,13,2030,5.013795395
ENC,13,2035,5.154930535
ENC,13,2040,5.224625159
ENC,13,2045,5.281296777
ENC,13,2050,5.333092509
ENC,13,2075,5.599791255
ENC,14,2020,5.291745672
ENC,14,2025,5.291745672
ENC,14,2030,5.291745672
ENC,14,2035,5.440704936
ENC,14,2040,5.514263228
ENC,14,2045,5.574076556
ENC,14,2050,5.628743693
ENC,14,2075,5.910227444
ENC,15,2020,5.559005555
ENC,15,2025,5.559005555
ENC,15,2030,5.559005555
ENC,15,2035,5.715488013
ENC,15,2040,5.792761371
ENC,15,2045,5.855595574
ENC,15,2050,5.913023677
ENC,15,2075,6.20872378
ENC,16,2020,5.836955832
ENC,16,2025,5.836955832
ENC,16,2030,5.836955832
ENC,16,2035,6.001262414
ENC,16,2040,6.082399439
ENC,16,2045,6.148375352
ENC,16,2050,6.208674861
ENC,16,2075,6.519159969
ENC,17,2020,6.104215715
ENC,17,2025,6.104215715
ENC,17,2030,6.104215715
ENC,17,2035,6.276045492
ENC,17,2040,6.360897582
ENC,17,2045,6.42989437
ENC,17,2050,6.492954845
ENC,17,2075,6.817656304
WNC,1,2020,1.742534434
WNC,1,2025,1.742534434
WNC,1,2030,1.742534434
WNC,1,2035,1.815641576
WNC,1,2040,1.840189037
WNC,1,2045,1.860149606
WNC,1,2050,1.878392817
WNC,1,2075,1.972327998
WNC,2,2020,2.020484711
WNC,2,2025,2.020484711
WNC,2,2030,2.020484711
WNC,2,2035,2.105253116
WNC,2,2040,2.133716123
WNC,2,2045,2.156860586
WNC,2,2050,2.178013757
WNC,2,2075,2.286932464
WNC,3,2020,2.287744594
WNC,3,2025,2.287744594
WNC,3,2030,2.287744594
WNC,3,2035,2.38372575
WNC,3,2040,2.415953706
WNC,3,2045,2.442159606
WNC,3,2050,2.466110815
WNC,3,2075,2.589436758
WNC,4,2020,2.565694871
WNC,4,2025,2.565694871
WNC,4,2030,2.565694871
WNC,4,2035,2.67333729
WNC,4,2040,2.709480791
WNC,4,2045,2.738870586
WNC,4,2050,2.765731755
WNC,4,2075,2.904041224
WNC,5,2020,2.832954754
WNC,5,2025,2.832954754
WNC,5,2030,2.832954754
WNC,5,2035,2.951809925
WNC,5,2040,2.991718374
WNC,5,2045,3.024169605
WNC,5,2050,3.053828813
WNC,5,2075,3.206545518
WNC,6,2020,3.110905032
WNC,6,2025,3.110905032
WNC,6,2030,3.110905032
WNC,6,2035,3.241421464
WNC,6,2040,3.28524546
WNC,6,2045,3.320880585
WNC,6,2050,3.353449753
WNC,6,2075,3.521149984
WNC,7,2020,3.378164914
WNC,7,2025,3.378164914
WNC,7,2030,3.378164914
WNC,7,2035,3.519894099
WNC,7,2040,3.567483042
WNC,7,2045,3.606179605
WNC,7,2050,3.641546811
WNC,7,2075,3.823654278
WNC,8,2020,3.656115192
WNC,8,2025,3.656115192
WNC,8,2030,3.656115192
WNC,8,2035,3.809505638
WNC,8,2040,3.861010128
WNC,8,2045,3.902890585
WNC,8,2050,3.941167751
WNC,8,2075,4.138258744
WNC,9,2020,3.923375074
WNC,9,2025,3.923375074
WNC,9,2030,3.923375074
WNC,9,2035,4.087978273
WNC,9,2040,4.14324771
WNC,9,2045,4.188189604
WNC,9,2050,4.229264809
WNC,9,2075,4.440763038
WNC,10,2020,4.201325352
WNC,10,2025,4.201325352
WNC,10,2030,4.201325352
WNC,10,2035,4.377589813
WNC,10,2040,4.436774796
WNC,10,2045,4.484900584
WNC,10,2050,4.528885749
WNC,10,2075,4.755367504
WNC,11,2020,4.468585234
WNC,11,2025,4.468585234
WNC,11,2030,4.468585234
WNC,11,2035,4.656062447
WNC,11,2040,4.719012378
WNC,11,2045,4.770199604
WNC,11,2050,4.816982806
WNC,11,2075,5.057871798
WNC,12,2020,4.746535512
WNC,12,2025,4.746535512
WNC,12,2030,4.746535512
WNC,12,2035,4.945673987
WNC,12,2040,5.012539464
WNC,12,2045,5.066910584
WNC,12,2050,5.116603747
WNC,12,2075,5.372476264
WNC,13,2020,5.013795395
WNC,13,2025,5.013795395
WNC,13,2030,5.013795395
WNC,13,2035,5.224146621
WNC,13,2040,5.294777046
WNC,13,2045,5.352209603
WNC,13,2050,5.404700804
WNC,13,2075,5.674980558
WNC,14,2020,5.291745672
WNC,14,2025,5.291745672
WNC,14,2030,5.291745672
WNC,14,2035,5.513758161
WNC,14,2040,5.588304132
WNC,14,2045,5.648920583
WNC,14,2050,5.704321744
WNC,14,2075,5.989585024
WNC,15,2020,5.559005555
WNC,15,2025,5.559005555
WNC,15,2030,5.559005555
WNC,15,2035,5.792230795
WNC,15,2040,5.870541715
WNC,15,2045,5.934219603
WNC,15,2050,5.992418802
WNC,15,2075,6.292089318
WNC,16,2020,5.836955832
WNC,16,2025,5.836955832
WNC,16,2030,5.836955832
WNC,16,2035,6.081842335
WNC,16,2040,6.1640688
WNC,16,2045,6.230930583
WNC,16,2050,6.292039742
WNC,16,2075,6.606693784
WNC,17,2020,6.104215715
WNC,17,2025,6.104215715
WNC,17,2030,6.104215715
WNC,17,2035,6.360314969
WNC,17,2040,6.446306383
WNC,17,2045,6.516229602
WNC,17,2050,6.5801368
WNC,17,2075,6.909198078
FL,1,2020,1.742534434
FL,1,2025,1.742534434
FL,1,2030,1.742534434
FL,1,2035,1.772796985
FL,1,2040,1.790168044
FL,1,2045,1.805856594
FL,1,2050,1.820955064
FL,1,2075,1.898362193
FL,2,2020,2.020484711
FL,2,2025,2.020484711
FL,2,2030,2.020484711
FL,2,2035,2.055574419
FL,2,2040,2.075716321
FL,2,2045,2.093907339
FL,2,2050,2.111414154
FL,2,2075,2.201168432
FL,3,2020,2.287744594
FL,3,2025,2.287744594
FL,3,2030,2.287744594
FL,3,2035,2.327475797
FL,3,2040,2.350281972
FL,3,2045,2.370879209
FL,3,2050,2.39070174
FL,3,2075,2.492328278
FL,4,2020,2.565694871
FL,4,2025,2.565694871
FL,4,2030,2.565694871
FL,4,2035,2.61025323
FL,4,2040,2.635830249
FL,4,2045,2.658929954
FL,4,2050,2.68116083
FL,4,2075,2.795134517
FL,5,2020,2.832954754
FL,5,2025,2.832954754
FL,5,2030,2.832954754
FL,5,2035,2.882154608
FL,5,2040,2.9103959
FL,5,2045,2.935901824
FL,5,2050,2.960448417
FL,5,2075,3.086294362
FL,6,2020,3.110905032
FL,6,2025,3.110905032
FL,6,2030,3.110905032
FL,6,2035,3.164932041
FL,6,2040,3.195944176
FL,6,2045,3.223952569
FL,6,2050,3.250907507
FL,6,2075,3.389100602
FL,7,2020,3.378164914
FL,7,2025,3.378164914
FL,7,2030,3.378164914
FL,7,2035,3.436833419
FL,7,2040,3.470509827
FL,7,2045,3.50092444
FL,7,2050,3.530195093
FL,7,2075,3.680260447
FL,8,2020,3.656115192
FL,8,2025,3.656115192
FL,8,2030,3.656115192
FL,8,2035,3.719610853
FL,8,2040,3.756058104
FL,8,2045,3.788975185
FL,8,2050,3.820654183
FL,8,2075,3.983066687
FL,9,2020,3.923375074
FL,9,2025,3.923375074
FL,9,2030,3.923375074
FL,9,2035,3.991512231
FL,9,2040,4.030623755
FL,9,2045,4.065947055
FL,9,2050,4.09994177
FL,9,2075,4.274226532
FL,10,2020,4.201325352
FL,10,2025,4.201325352
FL,10,2030,4.201325352
FL,10,2035,4.274289664
FL,10,2040,4.316172032
FL,10,2045,4.3539978
FL,10,2050,4.390400859
FL,10,2075,4.577032771
FL,11,2020,4.468585234
FL,11,2025,4.468585234
FL,11,2030,4.468585234
FL,11,2035,4.546191042
FL,11,2040,4.590737683
FL,11,2045,4.63096967
FL,11,2050,4.669688446
FL,11,2075,4.868192617
FL,12,2020,4.746535512
FL,12,2025,4.746535512
FL,12,2030,4.746535512
FL,12,2035,4.828968475
FL,12,2040,4.87628596
FL,12,2045,4.919020415
FL,12,2050,4.960147536
FL,12,2075,5.170998856
FL,13,2020,5.013795395
FL,13,2025,5.013795395
FL,13,2030,5.013795395
FL,13,2035,5.100869853
FL,13,2040,5.150851611
FL,13,2045,5.195992285
FL,13,2050,5.239435122
FL,13,2075,5.462158702
FL,14,2020,5.291745672
FL,14,2025,5.291745672
FL,14,2030,5.291745672
FL,14,2035,5.383647287
FL,14,2040,5.436399888
FL,14,2045,5.48404303
FL,14,2050,5.529894212
FL,14,2075,5.764964941
FL,15,2020,5.559005555
FL,15,2025,5.559005555
FL,15,2030,5.559005555
FL,15,2035,5.655548665
FL,15,2040,5.710965539
FL,15,2045,5.761014901
FL,15,2050,5.809181799
FL,15,2075,6.056124787
FL,16,2020,5.836955832
FL,16,2025,5.836955832
FL,16,2030,5.836955832
FL,16,2035,5.938326098
FL,16,2040,5.996513816
FL,16,2045,6.049065646
FL,16,2050,6.099640889
FL,16,2075,6.358931026
FL,17,2020,6.104215715
FL,17,2025,6.104215715
FL,17,2030,6.104215715
FL,17,2035,6.210227476
FL,17,2040,6.271079467
FL,17,2045,6.326037516
FL,17,2050,6.378928475
FL,17,2075,6.650090871
SAC,1,2020,1.742534434
SAC,1,2025,1.742534434
SAC,1,2030,1.742534434
SAC,1,2035,1.772796985
SAC,1,2040,1.790168044
SAC,1,2045,1.805856594
SAC,1,2050,1.820955064
SAC,1,2075,1.898362193
SAC,2,2020,2.020484711
SAC,2,2025,2.020484711
SAC,2,2030,2.020484711
SAC,2,2035,2.055574419
SAC,2,2040,2.075716321
SAC,2,2045,2.093907339
SAC,2,2050,2.111414154
SAC,2,2075,2.201168432
SAC,3,2020,2.287744594
SAC,3,2025,2.287744594
SAC,3,2030,2.287744594
SAC,3,2035,2.327475797
SAC,3,2040,2.350281972
SAC,3,2045,2.370879209
SAC,3,2050,2.39070174
