region,year,Value
NEG,2020,66.2688948
NEG,2025,70.08892381
NEG,2030,78.18583719
NEG,2035,86.41187082
NEG,2040,93.19642909
NEG,2045,100.3667816
NEG,2050,108.0494552
NEG,2075,156.2375782
NY,2020,73.59650163
NY,2025,78.07889748
NY,2030,84.61032856
NY,2035,91.15339208
NY,2040,98.31022707
NY,2045,105.8740253
NY,2050,113.9782563
NY,2075,164.8105184
MID,2020,73.59650163
MID,2025,78.07889748
MID,2030,84.61032856
MID,2035,91.15339208
MID,2040,97.177904
MID,2045,103.0711093
MID,2050,109.1326806
MID,2075,145.225936
ENC,2020,54.49113266
ENC,2025,58.41978361
ENC,2030,61.72279392
ENC,2035,65.47341379
ENC,2040,71.29616707
ENC,2045,77.61920497
ENC,2050,84.51501199
ENC,2075,129.3472483
WNC,2020,38.70281245
WNC,2025,37.69452275
WNC,2030,36.64052485
WNC,2035,39.14515286
WNC,2040,42.62645242
WNC,2045,46.40686146
WNC,2050,50.52971689
WNC,2075,77.33395146
FL,2020,60.84096661
FL,2025,61.94428421
FL,2030,64.89161285
FL,2035,67.54036448
FL,2040,72.00424368
FL,2045,76.37083089
FL,2050,80.86216928
FL,2075,107.6055693
SAC,2020,60.84096661
SAC,2025,61.94428421
SAC,2030,64.89161285
SAC,2035,67.54036448
SAC,2040,72.00424368
SAC,2045,76.37083089
SAC,2050,80.86216928
SAC,2075,107.6055693
ESC,2020,54.40205939
ESC,2025,56.58676091
ESC,2030,59.88682141
ESC,2035,62.09708845
ESC,2040,65.75046999
ESC,2045,69.42858204
ESC,2050,73.21007155
ESC,2075,95.44067663
TX,2020,62.32059026
TX,2025,67.58378032
TX,2030,74.87027976
TX,2035,81.84285832
TX,2040,86.65795022
TX,2045,91.5056365
TX,2050,96.48957242
TX,2075,125.7891146
WSC,2020,62.32059026
WSC,2025,67.58378032
WSC,2030,74.87027976
WSC,2035,81.84285832
WSC,2040,86.65795022
WSC,2045,91.5056365
WSC,2050,96.48957242
WSC,2075,125.7891146
MTN,2020,47.3055735
MTN,2025,49.68707212
MTN,2030,55.42463088
MTN,2035,60.30216624
MTN,2040,65.93779257
MTN,2045,71.68405362
MTN,2050,77.77592482
MTN,2075,116.9387167
CA,2020,73.26451563
CA,2025,74.7666694
CA,2030,76.71548982
CA,2035,78.11230437
CA,2040,83.8642683
CA,2045,89.82030818
CA,2050,96.09604686
CA,2075,134.6977774
PAC,2020,73.26451563
PAC,2025,74.7666694
PAC,2030,76.71548982
PAC,2035,78.11230437
PAC,2040,83.8642683
PAC,2045,89.82030818
PAC,2050,96.09604686
PAC,2075,134.6977774
