region,plant_type_full,year,Value
NEG,col_X1,2020,10000
NEG,col_X2,2020,0.1
NEG,col_X3,2020,102.0441057
NEG,ngcc_X1,2020,204.709425
NEG,ngcc_X2,2020,88.80313051
NEG,ngcc_X3,2020,40.83832064
NEG,ngtb_X1,2020,29.12520347
NEG,ngtb_X2,2020,10.76607374
NEG,ngtb_X3,2020,6
NEG,stog_X1,2020,372.9054583
NEG,stog_X2,2020,154.9355079
NEG,stog_X3,2020,108.21
NEG,nuc_X,2020,933.46
NEG,hyd_X,2020,3.39756962
NEG,bio_X,2020,16.41921875
NEG,lfg_X,2020,1.231440678
NEG,msw_X,2020,12.29
NEG,wnd_X,2020,76.18375
NEG,oth_X,2020,12
NEG,ps_X,2020,205.85875
NY,col_X1,2020,591.2725977
NY,col_X2,2020,136.0945249
NY,col_X3,2020,61.46064079
NY,ngcc_X1,2020,137.5782312
NY,ngcc_X2,2020,71.76686062
NY,ngcc_X3,2020,34.13260906
NY,ngtb_X1,2020,39.37495805
NY,ngtb_X2,2020,15.63962611
NY,stog_X1,2020,523.3333333
NY,stog_X2,2020,344.3153846
NY,stog_X3,2020,253.15
NY,nuc_X,2020,887.75
NY,hyd_X,2020,12.63922006
NY,bio_X,2020,11.83666667
NY,lfg_X,2020,0.946
NY,msw_X,2020,10.53913043
NY,wnd_X,2020,61.1
NY,ps_X,2020,81.05
MID,col_X1,2020,626.0170666
MID,col_X2,2020,497.1417368
MID,col_X3,2020,189.1947861
MID,ngcc_X1,2020,181.7932609
MID,ngcc_X2,2020,67.99187029
MID,ngcc_X3,2020,88.79452477
MID,ngtb_X1,2020,47.86323667
MID,ngtb_X2,2020,16.458
MID,ngtb_X3,2020,11
MID,stog_X1,2020,131.4444444
MID,stog_X2,2020,497.2
MID,stog_X3,2020,172.8592655
MID,nuc_X,2020,1057.007692
MID,hyd_X,2020,11.52639344
MID,bio_X,2020,16
MID,lfg_X,2020,3.530980392
MID,msw_X,2020,12.103125
MID,wnd_X,2020,33.99090909
MID,oth_X,2020,12.5
MID,ps_X,2020,136.7857143
ENC,col_X1,2020,530.2644196
ENC,col_X2,2020,399.4634134
ENC,col_X3,2020,209.3651153
ENC,ngcc_X1,2020,159.5338471
ENC,ngcc_X2,2020,112.1425061
ENC,ngcc_X3,2020,39.79936535
ENC,ngtb_X1,2020,29.14285917
ENC,ngtb_X2,2020,33.90341508
ENC,ngtb_X3,2020,33
ENC,stog_X1,2020,638
ENC,stog_X2,2020,101.1260316
ENC,stog_X3,2020,46.54753649
ENC,nuc_X,2020,962.95
ENC,hyd_X,2020,1.898699387
ENC,bio_X,2020,21.66666667
ENC,lfg_X,2020,1.130585774
ENC,msw_X,2020,12.92333333
ENC,wnd_X,2020,75.92884615
ENC,oth_X,2020,8.604
ENC,ps_X,2020,312
WNC,col_X1,2020,585.6096787
WNC,col_X2,2020,479.0951941
WNC,col_X3,2020,312.6514326
WNC,ngcc_X1,2020,201.638
WNC,ngcc_X2,2020,112.5230769
WNC,ngcc_X3,2020,86.36401948
