"region","plant_type_full","Value"
"CA","bio_X",5.46055979999637
"CA","col_X1",3.25490807917245
"CA","col_X2",0
"CA","col_X3",3.41100084558802
"CA","geo_X",0
"CA","hyd_X",0
"CA","msw_X",2.22797920001597
"CA","ngcc_X1",2.26836875271374
"CA","ngcc_X2",2.22043529797578
"CA","ngcc_X3",2.24769557791179
"CA","ngtb_X1",4.79067973903673
"CA","ngtb_X2",4.79349571125897
"CA","ngtb_X3",4.78914778294539
"CA","nuc_X",2.55696031408843
"CA","oth_X",0.135275959292126
"CA","slr_X",0.365946471820634
"CA","stog_X1",0
"CA","stog_X2",0
"CA","wnd_X",0
"ENC","bio_X",5.53333919595446
"ENC","col_X1",8.3718551430828
"ENC","col_X2",9.31290907730161
"ENC","col_X3",4.343341467287
"ENC","hyd_X",0
"ENC","msw_X",1.12424549789098
"ENC","ngcc_X1",2.2725452204321
"ENC","ngcc_X3",2.21329416637026
"ENC","ngtb_X1",4.78777456484572
"ENC","ngtb_X2",4.79627579498729
"ENC","ngtb_X3",4.78577947365916
"ENC","nuc_X",2.55696031434579
"ENC","oth_X",3.48907162530143
"ENC","slr_X",0
"ENC","stog_X2",0
"ENC","wnd_X",0
"ESC","bio_X",5.60339319750658
"ESC","col_X1",10.8301164813911
"ESC","col_X2",11.4836966509853
"ESC","col_X3",11.9824036748998
"ESC","hyd_X",0
"ESC","msw_X",0.055147999998789
"ESC","ngcc_X1",2.26510443860482
"ESC","ngcc_X2",2.21329416587097
"ESC","ngcc_X3",2.21329416613272
"ESC","ngtb_X1",4.78628126057315
"ESC","ngtb_X2",4.79390308189384
"ESC","ngtb_X3",4.78651672129115
"ESC","nuc_X",2.55696031439342
"ESC","oth_X",3.3104740753759
"ESC","slr_X",0
"ESC","stog_X2",0
"ESC","wnd_X",0
"FL","bio_X",7.35330307305636
"FL","col_X1",3.27198691844976
"FL","col_X2",8.0479729027886
"FL","col_X3",7.24189056887675
"FL","hyd_X",0
"FL","msw_X",2.87305472707962
"FL","ngcc_X1",2.22566250566572
"FL","ngcc_X2",2.21245287366937
"FL","ngcc_X3",2.21347005126112
"FL","ngtb_X1",4.78080697166495
"FL","ngtb_X2",4.79956270622215
"FL","ngtb_X3",4.69867487526426
"FL","nuc_X",2.55696031436785
"FL","oth_X",3.2269655901441
"FL","slr_X",0.0336539879559875
"MID","bio_X",5.55749771627245
"MID","col_X1",7.30844141672284
"MID","col_X2",11.6470399693767
"MID","col_X3",6.22044807130794
"MID","hyd_X",0
"MID","msw_X",2.55205938883943
"MID","ngcc_X1",2.27509675172089
"MID","ngcc_X2",3.07800437715283
"MID","ngtb_X1",4.77902918357782
"MID","ngtb_X2",4.80334606716126
