region,unit,vintage,time,value
NEG,nuc_X,2020,2020,3.40
NEG,hyd_X,2020,2020,1.93
NEG,geo_X,2020,2020,0.00
NEG,bio_X,2020,2020,1.03
NEG,lfg_X,2020,2020,0.00
NEG,msw_X,2020,2020,0.77
NEG,slr_X,2020,2020,1.15
NEG,wnd_X,2020,2020,1.47
NEG,oth_X,2020,2020,0.33
NEG,ps_X,2020,2020,0.00
NEG,col_N,2020,2020,0.00
NEG,col_Nccs,2020,2020,0.00
NEG,ngcc_N,2020,2020,0.00
NEG,ngcc_Nccs,2020,2020,0.00
NEG,ngtb_N,2020,2020,0.00
NEG,nuc_N,2020,2020,0.00
NEG,bio_N,2020,2020,0.00
NEG,fc_N,2020,2020,0.00
NEG,slrPV_N,2020,2020,0.00
NEG,slrCSP_N,2020,2020,0.00
NEG,col_X1,2020,2020,0.55
NEG,col_X2,2020,2020,1.56
NEG,col_X3,2020,2020,4.69
NEG,col_X1bio,2020,2020,0.00
NEG,col_X2bio,2020,2020,0.00
NEG,col_X3bio,2020,2020,0.00
NEG,col_X1ccs,2020,2020,0.00
NEG,col_X2ccs,2020,2020,0.00
NEG,col_X3ccs,2020,2020,0.00
NEG,ngcc_X1,2020,2020,16.26
NEG,ngcc_X2,2020,2020,0.19
NEG,ngcc_X3,2020,2020,0.10
NEG,ngtb_X1,2020,2020,1.92
NEG,ngtb_X2,2020,2020,1.31
NEG,ngtb_X3,2020,2020,1.29
NEG,stog_X1,2020,2020,0.03
NEG,stog_X2,2020,2020,1.77
NEG,stog_X3,2020,2020,0.00
NEG,lfg_N_hi,2020,2020,0.00
NEG,lfg_N_lo,2020,2020,0.00
NEG,lfg_N_vl,2020,2020,0.00
NEG,geo_N_1,2020,2020,0.00
NEG,geo_N_2,2020,2020,0.00
NEG,geo_N_3,2020,2020,0.00
NEG,geo_N_4,2020,2020,0.00
NEG,geo_N_5,2020,2020,0.00
NEG,geo_N_6,2020,2020,0.00
NEG,geo_N_7,2020,2020,0.00
NEG,geo_N_8,2020,2020,0.00
NEG,geo_N_9,2020,2020,0.00
NEG,geo_N_10,2020,2020,0.00
NEG,wnd_Nonsh_3,2020,2020,0.00
NEG,wnd_Nonsh_4,2020,2020,0.00
NEG,wnd_Nonsh_5,2020,2020,0.00
NEG,wnd_Nonsh_6,2020,2020,0.00
NEG,wnd_Nonsh_7,2020,2020,0.00
NEG,wnd_Nshal_3,2020,2020,0.00
NEG,wnd_Nshal_4,2020,2020,0.00
NEG,wnd_Nshal_5,2020,2020,0.00
NEG,wnd_Nshal_6,2020,2020,0.00
NEG,wnd_Nshal_7,2020,2020,0.00
NEG,wnd_Ndeep_3,2020,2020,0.00
NEG,wnd_Ndeep_4,2020,2020,0.00
NEG,wnd_Ndeep_5,2020,2020,0.00
NEG,wnd_Ndeep_6,2020,2020,0.00
NEG,wnd_Ndeep_7,2020,2020,0.00
NY,nuc_X,2020,2020,5.71
NY,hyd_X,2020,2020,4.69
NY,geo_X,2020,2020,0.00
NY,bio_X,2020,2020,0.13
NY,lfg_X,2020,2020,0.00
NY,msw_X,2020,2020,0.31
NY,slr_X,2020,2020,0.42
NY,wnd_X,2020,2020,1.99
NY,oth_X,2020,2020,0.06
NY,ps_X,2020,2020,0.00
NY,col_N,2020,2020,0.00
NY,col_Nccs,2020,2020,0.00
NY,ngcc_N,2020,2020,0.00
NY,ngcc_Nccs,2020,2020,0.00
NY,ngtb_N,2020,2020,0.00
NY,nuc_N,2020,2020,0.00
NY,bio_N,2020,2020,0.00
NY,fc_N,2020,2020,0.00
NY,slrPV_N,2020,2020,0.00
NY,slrCSP_N,2020,2020,0.00
NY,col_X1,2020,2020,0.70
NY,col_X2,2020,2020,6.64
NY,col_X3,2020,2020,5.48
NY,col_X1bio,2020,2020,0.00
NY,col_X2bio,2020,2020,0.00
NY,col_X3bio,2020,2020,0.00
NY,col_X1ccs,2020,2020,0.00
NY,col_X2ccs,2020,2020,0.00
NY,col_X3ccs,2020,2020,0.00
NY,ngcc_X1,2020,2020,10.16
NY,ngcc_X2,2020,2020,0.00
NY,ngcc_X3,2020,2020,0.00
NY,ngtb_X1,2020,2020,1.43
NY,ngtb_X2,2020,2020,0.85
NY,ngtb_X3,2020,2020,3.69
NY,stog_X1,2020,2020,0.00
NY,stog_X2,2020,2020,1.24
NY,stog_X3,2020,2020,0.00
NY,lfg_N_hi,2020,2020,0.00
NY,lfg_N_lo,2020,2020,0.00
NY,lfg_N_vl,2020,2020,0.00
NY,geo_N_1,2020,2020,0.00
NY,geo_N_2,2020,2020,0.00
NY,geo_N_3,2020,2020,0.00
NY,geo_N_4,2020,2020,0.00
NY,geo_N_5,2020,2020,0.00
NY,geo_N_6,2020,2020,0.00
NY,geo_N_7,2020,2020,0.00
NY,geo_N_8,2020,2020,0.00
NY,geo_N_9,2020,2020,0.00
NY,geo_N_10,2020,2020,0.00
NY,wnd_Nonsh_3,2020,2020,0.00
NY,wnd_Nonsh_4,2020,2020,0.00
NY,wnd_Nonsh_5,2020,2020,0.00
NY,wnd_Nonsh_6,2020,2020,0.00
NY,wnd_Nonsh_7,2020,2020,0.00
NY,wnd_Nshal_3,2020,2020,0.00
NY,wnd_Nshal_4,2020,2020,0.00
NY,wnd_Nshal_5,2020,2020,0.00
NY,wnd_Nshal_6,2020,2020,0.00
NY,wnd_Nshal_7,2020,2020,0.00
NY,wnd_Ndeep_3,2020,2020,0.00
NY,wnd_Ndeep_4,2020,2020,0.00
NY,wnd_Ndeep_5,2020,2020,0.00
NY,wnd_Ndeep_6,2020,2020,0.00
NY,wnd_Ndeep_7,2020,2020,0.00
MID,nuc_X,2020,2020,13.16
MID,hyd_X,2020,2020,0.93
MID,geo_X,2020,2020,0.00
MID,bio_X,2020,2020,0.29
MID,lfg_X,2020,2020,0.00
MID,msw_X,2020,2020,0.57
MID,slr_X,2020,2020,0.94
MID,wnd_X,2020,2020,1.47
MID,oth_X,2020,2020,0.20
MID,ps_X,2020,2020,0.00
MID,col_N,2020,2020,0.00
MID,col_Nccs,2020,2020,0.00
MID,ngcc_N,2020,2020,0.00
MID,ngcc_Nccs,2020,2020,0.00
MID,ngtb_N,2020,2020,0.00
MID,nuc_N,2020,2020,0.00
MID,bio_N,2020,2020,0.00
MID,fc_N,2020,2020,0.00
MID,slrPV_N,2020,2020,0.00
MID,slrCSP_N,2020,2020,0.00
MID,col_X1,2020,2020,4.21
MID,col_X2,2020,2020,7.13
MID,col_X3,2020,2020,4.55
MID,col_X1bio,2020,2020,0.00
MID,col_X2bio,2020,2020,0.00
MID,col_X3bio,2020,2020,0.00
MID,col_X1ccs,2020,2020,0.00
MID,col_X2ccs,2020,2020,0.00
MID,col_X3ccs,2020,2020,0.00
MID,ngcc_X1,2020,2020,27.59
MID,ngcc_X2,2020,2020,0.54
MID,ngcc_X3,2020,2020,0.00
MID,ngtb_X1,2020,2020,3.12
MID,ngtb_X2,2020,2020,2.46
MID,ngtb_X3,2020,2020,2.60
MID,stog_X1,2020,2020,0.00
MID,stog_X2,2020,2020,1.99
MID,stog_X3,2020,2020,0.00
MID,lfg_N_hi,2020,2020,0.00
MID,lfg_N_lo,2020,2020,0.00
MID,lfg_N_vl,2020,2020,0.00
MID,geo_N_1,2020,2020,0.00
MID,geo_N_2,2020,2020,0.00
MID,geo_N_3,2020,2020,0.00
MID,geo_N_4,2020,2020,0.00
MID,geo_N_5,2020,2020,0.00
MID,geo_N_6,2020,2020,0.00
MID,geo_N_7,2020,2020,0.00
MID,geo_N_8,2020,2020,0.00
MID,geo_N_9,2020,2020,0.00
MID,geo_N_10,2020,2020,0.00
MID,wnd_Nonsh_3,2020,2020,0.00
MID,wnd_Nonsh_4,2020,2020,0.00
MID,wnd_Nonsh_5,2020,2020,0.00
MID,wnd_Nonsh_6,2020,2020,0.00
MID,wnd_Nonsh_7,2020,2020,0.00
MID,wnd_Nshal_3,2020,2020,0.00
MID,wnd_Nshal_4,2020,2020,0.00
MID,wnd_Nshal_5,2020,2020,0.00
MID,wnd_Nshal_6,2020,2020,0.00
MID,wnd_Nshal_7,2020,2020,0.00
MID,wnd_Ndeep_3,2020,2020,0.00
MID,wnd_Ndeep_4,2020,2020,0.00
MID,wnd_Ndeep_5,2020,2020,0.00
MID,wnd_Ndeep_6,2020,2020,0.00
MID,wnd_Ndeep_7,2020,2020,0.00
ENC,nuc_X,2020,2020,20.25
ENC,hyd_X,2020,2020,1.15
ENC,geo_X,2020,2020,0.00
ENC,bio_X,2020,2020,1.00
ENC,lfg_X,2020,2020,0.00
ENC,msw_X,2020,2020,0.86
ENC,slr_X,2020,2020,0.53
ENC,wnd_X,2020,2020,11.13
ENC,oth_X,2020,2020,0.45
ENC,ps_X,2020,2020,0.00
ENC,col_N,2020,2020,0.00
ENC,col_Nccs,2020,2020,0.00
ENC,ngcc_N,2020,2020,0.00
ENC,ngcc_Nccs,2020,2020,0.00
ENC,ngtb_N,2020,2020,0.00
ENC,nuc_N,2020,2020,0.00
ENC,bio_N,2020,2020,0.00
ENC,fc_N,2020,2020,0.00
ENC,slrPV_N,2020,2020,0.00
ENC,slrCSP_N,2020,2020,0.00
ENC,col_X1,2020,2020,12.91
ENC,col_X2,2020,2020,47.03
ENC,col_X3,2020,2020,4.15
ENC,col_X1bio,2020,2020,0.00
ENC,col_X2bio,2020,2020,0.00
ENC,col_X3bio,2020,2020,0.00
ENC,col_X1ccs,2020,2020,0.00
ENC,col_X2ccs,2020,2020,0.00
ENC,col_X3ccs,2020,2020,0.00
ENC,ngcc_X1,2020,2020,23.41
ENC,ngcc_X2,2020,2020,0.00
ENC,ngcc_X3,2020,2020,0.77
ENC,ngtb_X1,2020,2020,9.19
ENC,ngtb_X2,2020,2020,13.41
ENC,ngtb_X3,2020,2020,13.02
ENC,stog_X1,2020,2020,0.00
ENC,stog_X2,2020,2020,1.98
ENC,stog_X3,2020,2020,0.00
ENC,lfg_N_hi,2020,2020,0.00
ENC,lfg_N_lo,2020,2020,0.00
ENC,lfg_N_vl,2020,2020,0.00
ENC,geo_N_1,2020,2020,0.00
ENC,geo_N_2,2020,2020,0.00
ENC,geo_N_3,2020,2020,0.00
ENC,geo_N_4,2020,2020,0.00
ENC,geo_N_5,2020,2020,0.00
ENC,geo_N_6,2020,2020,0.00
ENC,geo_N_7,2020,2020,0.00
ENC,geo_N_8,2020,2020,0.00
ENC,geo_N_9,2020,2020,0.00
ENC,geo_N_10,2020,2020,0.00
ENC,wnd_Nonsh_3,2020,2020,0.00
ENC,wnd_Nonsh_4,2020,2020,0.00
ENC,wnd_Nonsh_5,2020,2020,0.00
ENC,wnd_Nonsh_6,2020,2020,0.00
ENC,wnd_Nonsh_7,2020,2020,0.00
ENC,wnd_Nshal_3,2020,2020,0.00
ENC,wnd_Nshal_4,2020,2020,0.00
ENC,wnd_Nshal_5,2020,2020,0.00
ENC,wnd_Nshal_6,2020,2020,0.00
ENC,wnd_Nshal_7,2020,2020,0.00
ENC,wnd_Ndeep_3,2020,2020,0.00
ENC,wnd_Ndeep_4,2020,2020,0.00
ENC,wnd_Ndeep_5,2020,2020,0.00
ENC,wnd_Ndeep_6,2020,2020,0.00
ENC,wnd_Ndeep_7,2020,2020,0.00
WNC,nuc_X,2020,2020,5.86
WNC,hyd_X,2020,2020,3.42
WNC,geo_X,2020,2020,0.00
WNC,bio_X,2020,2020,0.73
WNC,lfg_X,2020,2020,0.00
WNC,msw_X,2020,2020,0.10
WNC,slr_X,2020,2020,1.00
WNC,wnd_X,2020,2020,27.76
WNC,oth_X,2020,2020,0.19
WNC,ps_X,2020,2020,0.00
WNC,col_N,2020,2020,0.00
WNC,col_Nccs,2020,2020,0.00
WNC,ngcc_N,2020,2020,0.00
WNC,ngcc_Nccs,2020,2020,0.00
WNC,ngtb_N,2020,2020,0.00
WNC,nuc_N,2020,2020,0.00
WNC,bio_N,2020,2020,0.00
WNC,fc_N,2020,2020,0.00
WNC,slrPV_N,2020,2020,0.00
WNC,slrCSP_N,2020,2020,0.00
WNC,col_X1,2020,2020,9.65
WNC,col_X2,2020,2020,24.69
WNC,col_X3,2020,2020,3.29
WNC,col_X1bio,2020,2020,0.00
WNC,col_X2bio,2020,2020,0.00
WNC,col_X3bio,2020,2020,0.00
WNC,col_X1ccs,2020,2020,0.00
WNC,col_X2ccs,2020,2020,0.00
WNC,col_X3ccs,2020,2020,0.00
WNC,ngcc_X1,2020,2020,7.92
WNC,ngcc_X2,2020,2020,0.00
WNC,ngcc_X3,2020,2020,0.08
WNC,ngtb_X1,2020,2020,5.31
WNC,ngtb_X2,2020,2020,6.81
WNC,ngtb_X3,2020,2020,7.37
WNC,stog_X1,2020,2020,0.19
WNC,stog_X2,2020,2020,0.41
WNC,stog_X3,2020,2020,0.00
WNC,lfg_N_hi,2020,2020,0.00
WNC,lfg_N_lo,2020,2020,0.00
WNC,lfg_N_vl,2020,2020,0.00
WNC,geo_N_1,2020,2020,0.00
WNC,geo_N_2,2020,2020,0.00
WNC,geo_N_3,2020,2020,0.00
WNC,geo_N_4,2020,2020,0.00
WNC,geo_N_5,2020,2020,0.00
WNC,geo_N_6,2020,2020,0.00
WNC,geo_N_7,2020,2020,0.00
WNC,geo_N_8,2020,2020,0.00
WNC,geo_N_9,2020,2020,0.00
WNC,geo_N_10,2020,2020,0.00
WNC,wnd_Nonsh_3,2020,2020,0.00
WNC,wnd_Nonsh_4,2020,2020,0.00
WNC,wnd_Nonsh_5,2020,2020,0.00
WNC,wnd_Nonsh_6,2020,2020,0.00
WNC,wnd_Nonsh_7,2020,2020,0.00
