region,time,value
NEG,2010,139.54
NEG,2015,132.99
NEG,2020,139.33
NEG,2025,143.58
NEG,2030,147.19
NEG,2035,156.84
NEG,2040,154.13
NEG,2045,162.30
NEG,2050,171.27
NEG,2075,209.22
NY,2010,168.09
NY,2015,154.73
NY,2020,159.40
NY,2025,160.71
NY,2030,159.93
NY,2035,164.39
NY,2040,162.69
NY,2045,170.98
NY,2050,180.24
NY,2075,218.11
MID,2010,299.04
MID,2015,246.86
MID,2020,249.78
MID,2025,255.38
MID,2030,254.44
MID,2035,264.28
MID,2040,264.41
MID,2045,275.77
MID,2050,287.54
MID,2075,340.60
ENC,2010,661.79
ENC,2015,631.63
ENC,2020,634.94
ENC,2025,650.76
ENC,2030,638.99
ENC,2035,677.81
ENC,2040,693.77
ENC,2045,731.28
ENC,2050,785.40
ENC,2075,1069.99
WNC,2010,254.98
WNC,2015,282.68
WNC,2020,283.62
WNC,2025,282.87
WNC,2030,258.74
WNC,2035,292.91
WNC,2040,304.84
WNC,2045,320.51
WNC,2050,338.30
WNC,2075,459.76
FL,2010,223.67
FL,2015,231.78
FL,2020,245.49
FL,2025,261.52
FL,2030,271.19
FL,2035,295.83
FL,2040,285.08
FL,2045,297.00
FL,2050,314.37
FL,2075,380.88
SAC,2010,654.56
SAC,2015,601.43
SAC,2020,607.89
SAC,2025,626.14
SAC,2030,620.15
SAC,2035,653.14
SAC,2040,649.63
SAC,2045,678.71
SAC,2050,705.17
SAC,2075,837.37
ESC,2010,344.17
ESC,2015,335.17
ESC,2020,335.59
ESC,2025,339.80
ESC,2030,330.36
ESC,2035,346.12
ESC,2040,334.08
ESC,2045,337.40
ESC,2050,345.87
ESC,2075,366.14
TX,2010,417.92
TX,2015,367.43
TX,2020,382.13
TX,2025,393.68
TX,2030,390.25
TX,2035,406.67
TX,2040,393.18
TX,2045,401.77
TX,2050,419.03
TX,2075,484.02
WSC,2010,221.24
WSC,2015,185.49
WSC,2020,192.36
WSC,2025,199.99
WSC,2030,200.93
WSC,2035,211.17
WSC,2040,210.59
WSC,2045,214.03
WSC,2050,217.19
WSC,2075,244.23
MTN,2010,248.68
MTN,2015,267.65
MTN,2020,288.34
MTN,2025,305.60
MTN,2030,306.18
MTN,2035,343.91
MTN,2040,356.26
MTN,2045,385.21
MTN,2050,415.04
MTN,2075,526.65
CA,2010,295.12
CA,2015,279.77
CA,2020,290.28
CA,2025,301.61
CA,2030,301.67
CA,2035,322.96
CA,2040,329.53
CA,2045,353.51
CA,2050,375.82
CA,2075,464.14
PAC,2010,179.02
PAC,2015,164.58
PAC,2020,170.98
PAC,2025,177.86
PAC,2030,178.42
PAC,2035,191.61
PAC,2040,195.94
PAC,2045,209.16
PAC,2050,221.72
PAC,2075,262.19
