region,time,value
NEG,2010,1.09
NEG,2015,0.94
NEG,2020,0.93
NEG,2025,0.91
NEG,2030,0.90
NEG,2035,0.92
NEG,2040,0.86
NEG,2045,0.87
NEG,2050,0.88
NEG,2075,0.86
NY,2010,1.07
NY,2015,0.94
NY,2020,0.95
NY,2025,0.93
NY,2030,0.91
NY,2035,0.93
NY,2040,0.88
NY,2045,0.88
NY,2050,0.89
NY,2075,0.86
MID,2010,1.25
MID,2015,0.98
MID,2020,0.96
MID,2025,0.95
MID,2030,0.92
MID,2035,0.93
MID,2040,0.89
MID,2045,0.89
MID,2050,0.89
MID,2075,0.86
ENC,2010,1.07
ENC,2015,0.95
ENC,2020,0.91
ENC,2025,0.91
ENC,2030,0.85
ENC,2035,0.88
ENC,2040,0.84
ENC,2045,0.84
ENC,2050,0.84
ENC,2075,0.83
WNC,2010,0.85
WNC,2015,0.89
WNC,2020,0.85
WNC,2025,0.81
WNC,2030,0.71
WNC,2035,0.76
WNC,2040,0.75
WNC,2045,0.74
WNC,2050,0.73
WNC,2075,0.72
FL,2010,0.91
FL,2015,0.91
FL,2020,0.89
FL,2025,0.88
FL,2030,0.85
FL,2035,0.87
FL,2040,0.80
FL,2045,0.80
FL,2050,0.81
FL,2075,0.80
SAC,2010,1.11
SAC,2015,0.97
SAC,2020,0.93
SAC,2025,0.91
SAC,2030,0.86
SAC,2035,0.86
SAC,2040,0.82
SAC,2045,0.82
SAC,2050,0.82
SAC,2075,0.79
ESC,2010,1.03
ESC,2015,0.95
ESC,2020,0.92
ESC,2025,0.90
ESC,2030,0.85
ESC,2035,0.86
ESC,2040,0.81
ESC,2045,0.80
ESC,2050,0.80
ESC,2075,0.74
TX,2010,1.16
TX,2015,0.96
TX,2020,0.95
TX,2025,0.94
TX,2030,0.90
TX,2035,0.92
TX,2040,0.87
TX,2045,0.86
TX,2050,0.88
TX,2075,0.89
WSC,2010,1.22
WSC,2015,0.96
WSC,2020,0.95
WSC,2025,0.95
WSC,2030,0.92
WSC,2035,0.93
WSC,2040,0.90
WSC,2045,0.89
WSC,2050,0.89
WSC,2075,0.88
MTN,2010,0.89
MTN,2015,0.89
MTN,2020,0.89
MTN,2025,0.88
MTN,2030,0.83
MTN,2035,0.87
MTN,2040,0.85
MTN,2045,0.87
MTN,2050,0.89
MTN,2075,0.86
CA,2010,1.05
CA,2015,0.96
CA,2020,0.95
CA,2025,0.94
CA,2030,0.89
CA,2035,0.91
CA,2040,0.88
CA,2045,0.91
CA,2050,0.92
CA,2075,0.90
PAC,2010,1.10
PAC,2015,0.97
PAC,2020,0.95
PAC,2025,0.94
PAC,2030,0.90
PAC,2035,0.92
PAC,2040,0.90
PAC,2045,0.91
PAC,2050,0.92
PAC,2075,0.87
