region,pollutant,time,value
NEG,co2,2010,42.34
NEG,co2,2015,37.29
NEG,co2,2020,38.42
NEG,co2,2025,41.37
NEG,co2,2030,34.08
NEG,co2,2035,21.14
NEG,co2,2040,14.07
NEG,co2,2045,17.44
NEG,co2,2050,20.45
NEG,co2,2075,26.98
NEG,so2,2010,0.00
NEG,so2,2015,0.00
NEG,so2,2020,0.00
NEG,so2,2025,0.00
NEG,so2,2030,0.00
NEG,so2,2035,0.00
NEG,so2,2040,0.00
NEG,so2,2045,0.00
NEG,so2,2050,0.00
NEG,so2,2075,0.00
NEG,nox,2010,0.00
NEG,nox,2015,0.00
NEG,nox,2020,0.00
NEG,nox,2025,0.00
NEG,nox,2030,0.00
NEG,nox,2035,0.00
NEG,nox,2040,0.00
NEG,nox,2045,0.00
NEG,nox,2050,0.00
NEG,nox,2075,0.00
NEG,hg,2010,0.00
NEG,hg,2015,0.00
NEG,hg,2020,0.00
NEG,hg,2025,0.00
NEG,hg,2030,0.00
NEG,hg,2035,0.00
NEG,hg,2040,0.00
NEG,hg,2045,0.00
NEG,hg,2050,0.00
NEG,hg,2075,0.00
NY,co2,2010,36.86
NY,co2,2015,32.74
NY,co2,2020,34.41
NY,co2,2025,34.15
NY,co2,2030,31.80
NY,co2,2035,29.69
NY,co2,2040,23.81
NY,co2,2045,25.14
NY,co2,2050,27.58
NY,co2,2075,23.81
NY,so2,2010,0.00
NY,so2,2015,0.00
NY,so2,2020,0.00
NY,so2,2025,0.00
NY,so2,2030,0.00
NY,so2,2035,0.00
NY,so2,2040,0.00
NY,so2,2045,0.00
NY,so2,2050,0.00
NY,so2,2075,0.00
NY,nox,2010,0.00
NY,nox,2015,0.00
NY,nox,2020,0.00
NY,nox,2025,0.00
NY,nox,2030,0.00
NY,nox,2035,0.00
NY,nox,2040,0.00
NY,nox,2045,0.00
NY,nox,2050,0.00
NY,nox,2075,0.00
NY,hg,2010,0.00
NY,hg,2015,0.00
NY,hg,2020,0.00
NY,hg,2025,0.00
NY,hg,2030,0.00
NY,hg,2035,0.00
NY,hg,2040,0.00
NY,hg,2045,0.00
NY,hg,2050,0.00
NY,hg,2075,0.00
MID,co2,2010,132.59
MID,co2,2015,114.34
MID,co2,2020,112.63
MID,co2,2025,107.93
MID,co2,2030,78.61
MID,co2,2035,51.24
MID,co2,2040,38.31
MID,co2,2045,40.46
MID,co2,2050,49.61
MID,co2,2075,48.70
MID,so2,2010,0.00
MID,so2,2015,0.00
MID,so2,2020,0.00
MID,so2,2025,0.00
MID,so2,2030,0.00
MID,so2,2035,0.00
MID,so2,2040,0.00
MID,so2,2045,0.00
MID,so2,2050,0.00
MID,so2,2075,0.00
MID,nox,2010,0.00
MID,nox,2015,0.00
MID,nox,2020,0.00
MID,nox,2025,0.00
MID,nox,2030,0.00
MID,nox,2035,0.00
MID,nox,2040,0.00
MID,nox,2045,0.00
MID,nox,2050,0.00
MID,nox,2075,0.00
MID,hg,2010,0.00
MID,hg,2015,0.00
MID,hg,2020,0.00
MID,hg,2025,0.00
MID,hg,2030,0.00
MID,hg,2035,0.00
MID,hg,2040,0.00
MID,hg,2045,0.00
MID,hg,2050,0.00
MID,hg,2075,0.00
ENC,co2,2010,485.70
ENC,co2,2015,472.17
ENC,co2,2020,449.88
ENC,co2,2025,379.98
ENC,co2,2030,217.89
ENC,co2,2035,139.61
ENC,co2,2040,82.81
ENC,co2,2045,86.71
ENC,co2,2050,100.01
ENC,co2,2075,145.85
ENC,so2,2010,0.00
ENC,so2,2015,0.00
ENC,so2,2020,0.00
ENC,so2,2025,0.00
ENC,so2,2030,0.00
ENC,so2,2035,0.00
ENC,so2,2040,0.00
ENC,so2,2045,0.00
ENC,so2,2050,0.00
ENC,so2,2075,0.00
ENC,nox,2010,0.00
ENC,nox,2015,0.00
ENC,nox,2020,0.00
ENC,nox,2025,0.00
ENC,nox,2030,0.00
ENC,nox,2035,0.00
ENC,nox,2040,0.00
ENC,nox,2045,0.00
ENC,nox,2050,0.00
ENC,nox,2075,0.00
ENC,hg,2010,0.00
ENC,hg,2015,0.00
ENC,hg,2020,0.00
ENC,hg,2025,0.00
ENC,hg,2030,0.00
ENC,hg,2035,0.00
ENC,hg,2040,0.00
ENC,hg,2045,0.00
ENC,hg,2050,0.00
ENC,hg,2075,0.00
WNC,co2,2010,239.83
WNC,co2,2015,237.35
WNC,co2,2020,223.84
WNC,co2,2025,211.13
WNC,co2,2030,65.30
WNC,co2,2035,2.86
WNC,co2,2040,0.60
WNC,co2,2045,0.61
WNC,co2,2050,1.12
WNC,co2,2075,8.23
WNC,so2,2010,0.00
WNC,so2,2015,0.00
WNC,so2,2020,0.00
WNC,so2,2025,0.00
WNC,so2,2030,0.00
WNC,so2,2035,0.00
WNC,so2,2040,0.00
WNC,so2,2045,0.00
WNC,so2,2050,0.00
WNC,so2,2075,0.00
WNC,nox,2010,0.00
WNC,nox,2015,0.00
WNC,nox,2020,0.00
WNC,nox,2025,0.00
WNC,nox,2030,0.00
WNC,nox,2035,0.00
WNC,nox,2040,0.00
WNC,nox,2045,0.00
WNC,nox,2050,0.00
WNC,nox,2075,0.00
WNC,hg,2010,0.00
WNC,hg,2015,0.00
WNC,hg,2020,0.00
WNC,hg,2025,0.00
WNC,hg,2030,0.00
WNC,hg,2035,0.00
WNC,hg,2040,0.00
WNC,hg,2045,0.00
WNC,hg,2050,0.00
WNC,hg,2075,0.00
FL,co2,2010,101.62
FL,co2,2015,104.84
FL,co2,2020,107.64
FL,co2,2025,112.64
FL,co2,2030,91.61
FL,co2,2035,96.56
FL,co2,2040,64.16
FL,co2,2045,68.23
FL,co2,2050,63.87
FL,co2,2075,51.09
FL,so2,2010,0.00
