region,unit,value
NEG,nuc_X,131.24
NEG,hyd_X,92.69
NEG,geo_X,0.00
NEG,bio_X,198.16
NEG,lfg_X,0.00
NEG,msw_X,14.51
NEG,slr_X,20.69
NEG,wnd_X,49.24
NEG,oth_X,15.50
NEG,ps_X,0.00
NEG,col_N,48.90
NEG,col_Nccs,63.21
NEG,ngcc_N,14.62
NEG,ngcc_Nccs,30.25
NEG,ngtb_N,6.70
NEG,nuc_N,88.75
NEG,bio_N,100.50
NEG,fc_N,5.78
NEG,slrPV_N,16.70
NEG,slrCSP_N,64.00
NEG,col_X1,116.68
NEG,col_X2,134.19
NEG,col_X3,169.67
NEG,col_X1bio,0.00
NEG,col_X2bio,0.00
NEG,col_X3bio,0.00
NEG,col_X1ccs,0.00
NEG,col_X2ccs,0.00
NEG,col_X3ccs,0.00
NEG,ngcc_X1,12.75
NEG,ngcc_X2,16.78
NEG,ngcc_X3,19.07
NEG,ngtb_X1,15.58
NEG,ngtb_X2,19.70
NEG,ngtb_X3,15.57
NEG,stog_X1,0.00
NEG,stog_X2,0.00
NEG,stog_X3,0.00
NEG,lfg_N_hi,373.76
NEG,lfg_N_lo,373.76
NEG,lfg_N_vl,373.76
NEG,geo_N_1,0.00
NEG,geo_N_2,0.00
NEG,geo_N_3,0.00
NEG,geo_N_4,0.00
NEG,geo_N_5,0.00
NEG,geo_N_6,0.00
NEG,geo_N_7,0.00
NEG,geo_N_8,0.00
NEG,geo_N_9,0.00
NEG,geo_N_10,0.00
NEG,wnd_Nonsh_3,28.07
NEG,wnd_Nonsh_4,28.07
NEG,wnd_Nonsh_5,28.07
NEG,wnd_Nonsh_6,28.07
NEG,wnd_Nonsh_7,28.07
NEG,wnd_Nshal_3,53.33
NEG,wnd_Nshal_4,53.33
NEG,wnd_Nshal_5,53.33
NEG,wnd_Nshal_6,53.33
NEG,wnd_Nshal_7,53.33
NEG,wnd_Ndeep_3,53.33
NEG,wnd_Ndeep_4,53.33
NEG,wnd_Ndeep_5,53.33
NEG,wnd_Ndeep_6,53.33
NEG,wnd_Ndeep_7,53.33
NY,nuc_X,131.24
NY,hyd_X,92.69
NY,geo_X,0.00
NY,bio_X,212.97
NY,lfg_X,0.00
NY,msw_X,2.56
NY,slr_X,20.69
NY,wnd_X,47.65
NY,oth_X,0.00
NY,ps_X,0.00
NY,col_N,48.90
NY,col_Nccs,63.21
NY,ngcc_N,14.62
NY,ngcc_Nccs,30.25
NY,ngtb_N,6.70
NY,nuc_N,88.75
NY,bio_N,100.50
NY,fc_N,5.78
NY,slrPV_N,16.70
NY,slrCSP_N,64.00
NY,col_X1,80.71
NY,col_X2,74.63
NY,col_X3,95.16
NY,col_X1bio,0.00
NY,col_X2bio,0.00
NY,col_X3bio,0.00
NY,col_X1ccs,0.00
NY,col_X2ccs,0.00
NY,col_X3ccs,0.00
NY,ngcc_X1,12.86
NY,ngcc_X2,0.00
NY,ngcc_X3,0.00
NY,ngtb_X1,11.21
NY,ngtb_X2,12.38
NY,ngtb_X3,19.13
NY,stog_X1,0.00
NY,stog_X2,0.00
NY,stog_X3,0.00
NY,lfg_N_hi,373.76
NY,lfg_N_lo,373.76
NY,lfg_N_vl,373.76
NY,geo_N_1,0.00
NY,geo_N_2,0.00
NY,geo_N_3,0.00
NY,geo_N_4,0.00
NY,geo_N_5,0.00
NY,geo_N_6,0.00
NY,geo_N_7,0.00
NY,geo_N_8,0.00
NY,geo_N_9,0.00
NY,geo_N_10,0.00
NY,wnd_Nonsh_3,28.07
NY,wnd_Nonsh_4,28.07
NY,wnd_Nonsh_5,28.07
NY,wnd_Nonsh_6,28.07
NY,wnd_Nonsh_7,28.07
NY,wnd_Nshal_3,53.33
NY,wnd_Nshal_4,53.33
NY,wnd_Nshal_5,53.33
NY,wnd_Nshal_6,53.33
NY,wnd_Nshal_7,53.33
NY,wnd_Ndeep_3,53.33
NY,wnd_Ndeep_4,53.33
NY,wnd_Ndeep_5,53.33
NY,wnd_Ndeep_6,53.33
NY,wnd_Ndeep_7,53.33
MID,nuc_X,131.24
MID,hyd_X,92.69
MID,geo_X,0.00
MID,bio_X,185.62
MID,lfg_X,0.00
MID,msw_X,8.98
MID,slr_X,20.69
MID,wnd_X,47.65
MID,oth_X,2.51
MID,ps_X,0.00
MID,col_N,48.90
MID,col_Nccs,63.21
MID,ngcc_N,14.62
MID,ngcc_Nccs,30.25
MID,ngtb_N,6.70
MID,nuc_N,88.75
MID,bio_N,100.50
MID,fc_N,5.78
MID,slrPV_N,16.70
MID,slrCSP_N,64.00
MID,col_X1,125.95
MID,col_X2,115.98
MID,col_X3,74.86
MID,col_X1bio,0.00
MID,col_X2bio,0.00
MID,col_X3bio,0.00
MID,col_X1ccs,0.00
MID,col_X2ccs,0.00
MID,col_X3ccs,0.00
MID,ngcc_X1,13.06
MID,ngcc_X2,16.86
MID,ngcc_X3,0.00
MID,ngtb_X1,11.23
MID,ngtb_X2,16.51
MID,ngtb_X3,16.70
MID,stog_X1,0.00
MID,stog_X2,0.00
MID,stog_X3,0.00
MID,lfg_N_hi,373.76
MID,lfg_N_lo,373.76
MID,lfg_N_vl,373.76
MID,geo_N_1,0.00
MID,geo_N_2,0.00
MID,geo_N_3,0.00
MID,geo_N_4,0.00
MID,geo_N_5,0.00
MID,geo_N_6,0.00
MID,geo_N_7,0.00
MID,geo_N_8,0.00
MID,geo_N_9,0.00
MID,geo_N_10,0.00
MID,wnd_Nonsh_3,28.07
MID,wnd_Nonsh_4,28.07
MID,wnd_Nonsh_5,28.07
MID,wnd_Nonsh_6,28.07
MID,wnd_Nonsh_7,28.07
MID,wnd_Nshal_3,53.33
MID,wnd_Nshal_4,53.33
MID,wnd_Nshal_5,53.33
MID,wnd_Nshal_6,53.33
MID,wnd_Nshal_7,53.33
MID,wnd_Ndeep_3,53.33
MID,wnd_Ndeep_4,53.33
MID,wnd_Ndeep_5,53.33
MID,wnd_Ndeep_6,53.33
MID,wnd_Ndeep_7,53.33
ENC,nuc_X,131.24
ENC,hyd_X,92.69
ENC,geo_X,0.00
ENC,bio_X,198.52
ENC,lfg_X,0.00
ENC,msw_X,4.62
ENC,slr_X,20.69
ENC,wnd_X,47.65
ENC,oth_X,2.62
ENC,ps_X,0.00
ENC,col_N,48.90
ENC,col_Nccs,63.21
ENC,ngcc_N,14.62
ENC,ngcc_Nccs,30.25
ENC,ngtb_N,6.70
ENC,nuc_N,88.75
ENC,bio_N,100.50
ENC,fc_N,5.78
ENC,slrPV_N,16.70
ENC,slrCSP_N,64.00
ENC,col_X1,97.43
ENC,col_X2,85.03
ENC,col_X3,83.43
ENC,col_X1bio,0.00
ENC,col_X2bio,0.00
ENC,col_X3bio,0.00
ENC,col_X1ccs,0.00
ENC,col_X2ccs,0.00
ENC,col_X3ccs,0.00
ENC,ngcc_X1,12.83
ENC,ngcc_X2,0.00
ENC,ngcc_X3,12.84
ENC,ngtb_X1,11.38
ENC,ngtb_X2,12.18
ENC,ngtb_X3,14.29
ENC,stog_X1,0.00
ENC,stog_X2,0.00
ENC,stog_X3,0.00
ENC,lfg_N_hi,373.76
ENC,lfg_N_lo,373.76
ENC,lfg_N_vl,373.76
ENC,geo_N_1,0.00
ENC,geo_N_2,0.00
ENC,geo_N_3,0.00
ENC,geo_N_4,0.00
ENC,geo_N_5,0.00
ENC,geo_N_6,0.00
ENC,geo_N_7,0.00
ENC,geo_N_8,0.00
ENC,geo_N_9,0.00
ENC,geo_N_10,0.00
ENC,wnd_Nonsh_3,28.07
ENC,wnd_Nonsh_4,28.07
ENC,wnd_Nonsh_5,28.07
ENC,wnd_Nonsh_6,28.07
