region,unit,load_segment,vintage,time,value
NEG,nuc_X,sum_day,2020,2020,5.19
NEG,nuc_X,sum_mrnevn,2020,2020,3.89
NEG,nuc_X,sum_night,2020,2020,2.47
NEG,nuc_X,sprfl_day,2020,2020,2.18
NEG,nuc_X,sprfl_mrnevn,2020,2020,3.00
NEG,nuc_X,sprfl_night,2020,2020,1.37
NEG,nuc_X,wntr_day,2020,2020,2.90
NEG,nuc_X,wntr_mrnevn,2020,2020,3.99
NEG,nuc_X,wntr_night,2020,2020,1.82
NEG,nuc_X,peak,2020,2020,0.28
NEG,hyd_X,sum_day,2020,2020,1.27
NEG,hyd_X,sum_mrnevn,2020,2020,0.96
NEG,hyd_X,sum_night,2020,2020,0.61
NEG,hyd_X,sprfl_day,2020,2020,0.63
NEG,hyd_X,sprfl_mrnevn,2020,2020,0.87
NEG,hyd_X,sprfl_night,2020,2020,0.39
NEG,hyd_X,wntr_day,2020,2020,0.84
NEG,hyd_X,wntr_mrnevn,2020,2020,1.15
NEG,hyd_X,wntr_night,2020,2020,0.52
NEG,hyd_X,peak,2020,2020,0.07
NEG,geo_X,sum_day,2020,2020,0.00
NEG,geo_X,sum_mrnevn,2020,2020,0.00
NEG,geo_X,sum_night,2020,2020,0.00
NEG,geo_X,sprfl_day,2020,2020,0.00
NEG,geo_X,sprfl_mrnevn,2020,2020,0.00
NEG,geo_X,sprfl_night,2020,2020,0.00
NEG,geo_X,wntr_day,2020,2020,0.00
NEG,geo_X,wntr_mrnevn,2020,2020,0.00
NEG,geo_X,wntr_night,2020,2020,0.00
NEG,geo_X,peak,2020,2020,0.00
NEG,bio_X,sum_day,2020,2020,1.38
NEG,bio_X,sum_mrnevn,2020,2020,1.03
NEG,bio_X,sum_night,2020,2020,0.29
NEG,bio_X,sprfl_day,2020,2020,0.62
NEG,bio_X,sprfl_mrnevn,2020,2020,0.86
NEG,bio_X,sprfl_night,2020,2020,0.04
NEG,bio_X,wntr_day,2020,2020,0.83
NEG,bio_X,wntr_mrnevn,2020,2020,1.14
NEG,bio_X,wntr_night,2020,2020,0.52
NEG,bio_X,peak,2020,2020,0.08
NEG,lfg_X,sum_day,2020,2020,0.00
NEG,lfg_X,sum_mrnevn,2020,2020,0.00
NEG,lfg_X,sum_night,2020,2020,0.00
NEG,lfg_X,sprfl_day,2020,2020,0.00
NEG,lfg_X,sprfl_mrnevn,2020,2020,0.00
NEG,lfg_X,sprfl_night,2020,2020,0.00
NEG,lfg_X,wntr_day,2020,2020,0.00
NEG,lfg_X,wntr_mrnevn,2020,2020,0.00
NEG,lfg_X,wntr_night,2020,2020,0.00
NEG,lfg_X,peak,2020,2020,0.00
NEG,msw_X,sum_day,2020,2020,1.11
NEG,msw_X,sum_mrnevn,2020,2020,0.84
NEG,msw_X,sum_night,2020,2020,0.53
NEG,msw_X,sprfl_day,2020,2020,0.50
NEG,msw_X,sprfl_mrnevn,2020,2020,0.69
NEG,msw_X,sprfl_night,2020,2020,0.31
NEG,msw_X,wntr_day,2020,2020,0.67
NEG,msw_X,wntr_mrnevn,2020,2020,0.92
NEG,msw_X,wntr_night,2020,2020,0.42
NEG,msw_X,peak,2020,2020,0.06
NEG,slr_X,sum_day,2020,2020,0.00
NEG,slr_X,sum_mrnevn,2020,2020,0.00
NEG,slr_X,sum_night,2020,2020,0.00
NEG,slr_X,sprfl_day,2020,2020,0.00
NEG,slr_X,sprfl_mrnevn,2020,2020,0.00
NEG,slr_X,sprfl_night,2020,2020,0.00
NEG,slr_X,wntr_day,2020,2020,0.00
NEG,slr_X,wntr_mrnevn,2020,2020,0.00
NEG,slr_X,wntr_night,2020,2020,0.00
NEG,slr_X,peak,2020,2020,0.00
NEG,wnd_X,sum_day,2020,2020,0.55
NEG,wnd_X,sum_mrnevn,2020,2020,0.48
NEG,wnd_X,sum_night,2020,2020,0.33
NEG,wnd_X,sprfl_day,2020,2020,0.29
NEG,wnd_X,sprfl_mrnevn,2020,2020,0.45
NEG,wnd_X,sprfl_night,2020,2020,0.23
NEG,wnd_X,wntr_day,2020,2020,0.38
NEG,wnd_X,wntr_mrnevn,2020,2020,0.60
NEG,wnd_X,wntr_night,2020,2020,0.30
NEG,wnd_X,peak,2020,2020,0.03
NEG,oth_X,sum_day,2020,2020,0.48
NEG,oth_X,sum_mrnevn,2020,2020,0.36
NEG,oth_X,sum_night,2020,2020,0.23
NEG,oth_X,sprfl_day,2020,2020,0.21
NEG,oth_X,sprfl_mrnevn,2020,2020,0.30
NEG,oth_X,sprfl_night,2020,2020,0.13
NEG,oth_X,wntr_day,2020,2020,0.29
NEG,oth_X,wntr_mrnevn,2020,2020,0.39
NEG,oth_X,wntr_night,2020,2020,0.18
NEG,oth_X,peak,2020,2020,0.03
NEG,ps_X,sum_day,2020,2020,0.00
NEG,ps_X,sum_mrnevn,2020,2020,0.00
NEG,ps_X,sum_night,2020,2020,0.00
NEG,ps_X,sprfl_day,2020,2020,0.00
NEG,ps_X,sprfl_mrnevn,2020,2020,0.00
NEG,ps_X,sprfl_night,2020,2020,0.00
NEG,ps_X,wntr_day,2020,2020,0.00
NEG,ps_X,wntr_mrnevn,2020,2020,0.00
NEG,ps_X,wntr_night,2020,2020,0.00
NEG,ps_X,peak,2020,2020,0.00
NEG,col_N,sum_day,2020,2020,0.00
NEG,col_N,sum_mrnevn,2020,2020,0.00
NEG,col_N,sum_night,2020,2020,0.00
NEG,col_N,sprfl_day,2020,2020,0.00
NEG,col_N,sprfl_mrnevn,2020,2020,0.00
NEG,col_N,sprfl_night,2020,2020,0.00
NEG,col_N,wntr_day,2020,2020,0.00
