region,destination,load_segment,time
NEG,NEG,sum_day,2010,0.00
NEG,NEG,sum_day,2015,0.00
NEG,NEG,sum_day,2020,0.00
NEG,NEG,sum_day,2025,0.00
NEG,NEG,sum_day,2030,0.00
NEG,NEG,sum_day,2035,0.00
NEG,NEG,sum_day,2040,0.00
NEG,NEG,sum_day,2045,0.00
NEG,NEG,sum_day,2050,0.00
NEG,NEG,sum_day,2075,0.00
NEG,NEG,sum_mrnevn,2010,0.00
NEG,NEG,sum_mrnevn,2015,0.00
NEG,NEG,sum_mrnevn,2020,0.00
NEG,NEG,sum_mrnevn,2025,0.00
NEG,NEG,sum_mrnevn,2030,0.00
NEG,NEG,sum_mrnevn,2035,0.00
NEG,NEG,sum_mrnevn,2040,0.00
NEG,NEG,sum_mrnevn,2045,0.00
NEG,NEG,sum_mrnevn,2050,0.00
NEG,NEG,sum_mrnevn,2075,0.00
NEG,NEG,sum_night,2010,0.00
NEG,NEG,sum_night,2015,0.00
NEG,NEG,sum_night,2020,0.00
NEG,NEG,sum_night,2025,0.00
NEG,NEG,sum_night,2030,0.00
NEG,NEG,sum_night,2035,0.00
NEG,NEG,sum_night,2040,0.00
NEG,NEG,sum_night,2045,0.00
NEG,NEG,sum_night,2050,0.00
NEG,NEG,sum_night,2075,0.00
NEG,NEG,sprfl_day,2010,0.00
NEG,NEG,sprfl_day,2015,0.00
NEG,NEG,sprfl_day,2020,0.00
NEG,NEG,sprfl_day,2025,0.00
NEG,NEG,sprfl_day,2030,0.00
NEG,NEG,sprfl_day,2035,0.00
NEG,NEG,sprfl_day,2040,0.00
NEG,NEG,sprfl_day,2045,0.00
NEG,NEG,sprfl_day,2050,0.00
NEG,NEG,sprfl_day,2075,0.00
NEG,NEG,sprfl_mrnevn,2010,0.00
NEG,NEG,sprfl_mrnevn,2015,0.00
NEG,NEG,sprfl_mrnevn,2020,0.00
NEG,NEG,sprfl_mrnevn,2025,0.00
NEG,NEG,sprfl_mrnevn,2030,0.00
NEG,NEG,sprfl_mrnevn,2035,0.00
NEG,NEG,sprfl_mrnevn,2040,0.00
NEG,NEG,sprfl_mrnevn,2045,0.00
NEG,NEG,sprfl_mrnevn,2050,0.00
NEG,NEG,sprfl_mrnevn,2075,0.00
NEG,NEG,sprfl_night,2010,0.00
NEG,NEG,sprfl_night,2015,0.00
NEG,NEG,sprfl_night,2020,0.00
NEG,NEG,sprfl_night,2025,0.00
NEG,NEG,sprfl_night,2030,0.00
NEG,NEG,sprfl_night,2035,0.00
NEG,NEG,sprfl_night,2040,0.00
NEG,NEG,sprfl_night,2045,0.00
NEG,NEG,sprfl_night,2050,0.00
NEG,NEG,sprfl_night,2075,0.00
NEG,NEG,wntr_day,2010,0.00
NEG,NEG,wntr_day,2015,0.00
NEG,NEG,wntr_day,2020,0.00
NEG,NEG,wntr_day,2025,0.00
NEG,NEG,wntr_day,2030,0.00
NEG,NEG,wntr_day,2035,0.00
NEG,NEG,wntr_day,2040,0.00
NEG,NEG,wntr_day,2045,0.00
NEG,NEG,wntr_day,2050,0.00
NEG,NEG,wntr_day,2075,0.00
NEG,NEG,wntr_mrnevn,2010,0.00
NEG,NEG,wntr_mrnevn,2015,0.00
NEG,NEG,wntr_mrnevn,2020,0.00
NEG,NEG,wntr_mrnevn,2025,0.00
NEG,NEG,wntr_mrnevn,2030,0.00
NEG,NEG,wntr_mrnevn,2035,0.00
NEG,NEG,wntr_mrnevn,2040,0.00
NEG,NEG,wntr_mrnevn,2045,0.00
NEG,NEG,wntr_mrnevn,2050,0.00
NEG,NEG,wntr_mrnevn,2075,0.00
NEG,NEG,wntr_night,2010,0.00
NEG,NEG,wntr_night,2015,0.00
NEG,NEG,wntr_night,2020,0.00
NEG,NEG,wntr_night,2025,0.00
NEG,NEG,wntr_night,2030,0.00
NEG,NEG,wntr_night,2035,0.00
NEG,NEG,wntr_night,2040,0.00
NEG,NEG,wntr_night,2045,0.00
NEG,NEG,wntr_night,2050,0.00
NEG,NEG,wntr_night,2075,0.00
NEG,NEG,peak,2010,0.00
NEG,NEG,peak,2015,0.00
NEG,NEG,peak,2020,0.00
NEG,NEG,peak,2025,0.00
NEG,NEG,peak,2030,0.00
NEG,NEG,peak,2035,0.00
NEG,NEG,peak,2040,0.00
NEG,NEG,peak,2045,0.00
NEG,NEG,peak,2050,0.00
NEG,NEG,peak,2075,0.00
NEG,NY,sum_day,2010,0.00
NEG,NY,sum_day,2015,0.51
NEG,NY,sum_day,2020,0.00
NEG,NY,sum_day,2025,0.00
NEG,NY,sum_day,2030,0.00
NEG,NY,sum_day,2035,0.00
NEG,NY,sum_day,2040,0.00
NEG,NY,sum_day,2045,0.00
NEG,NY,sum_day,2050,0.00
NEG,NY,sum_day,2075,0.00
NEG,NY,sum_mrnevn,2010,0.39
NEG,NY,sum_mrnevn,2015,0.00
NEG,NY,sum_mrnevn,2020,1.34
NEG,NY,sum_mrnevn,2025,0.00
NEG,NY,sum_mrnevn,2030,0.00
NEG,NY,sum_mrnevn,2035,0.00
NEG,NY,sum_mrnevn,2040,1.64
NEG,NY,sum_mrnevn,2045,0.48
NEG,NY,sum_mrnevn,2050,0.00
NEG,NY,sum_mrnevn,2075,0.04
NEG,NY,sum_night,2010,1.35
NEG,NY,sum_night,2015,1.44
NEG,NY,sum_night,2020,0.00
NEG,NY,sum_night,2025,0.00
NEG,NY,sum_night,2030,1.44
NEG,NY,sum_night,2035,0.00
NEG,NY,sum_night,2040,0.00
NEG,NY,sum_night,2045,0.00
NEG,NY,sum_night,2050,0.00
NEG,NY,sum_night,2075,0.00
NEG,NY,sprfl_day,2010,0.10
NEG,NY,sprfl_day,2015,0.49
NEG,NY,sprfl_day,2020,0.51
NEG,NY,sprfl_day,2025,0.00
NEG,NY,sprfl_day,2030,0.68
NEG,NY,sprfl_day,2035,0.00
NEG,NY,sprfl_day,2040,1.08
NEG,NY,sprfl_day,2045,0.39
NEG,NY,sprfl_day,2050,0.00
NEG,NY,sprfl_day,2075,0.01
NEG,NY,sprfl_mrnevn,2010,0.62
NEG,NY,sprfl_mrnevn,2015,0.05
NEG,NY,sprfl_mrnevn,2020,1.41
NEG,NY,sprfl_mrnevn,2025,0.00
NEG,NY,sprfl_mrnevn,2030,0.84
NEG,NY,sprfl_mrnevn,2035,0.00
NEG,NY,sprfl_mrnevn,2040,1.89
NEG,NY,sprfl_mrnevn,2045,0.00
NEG,NY,sprfl_mrnevn,2050,0.41
NEG,NY,sprfl_mrnevn,2075,0.00
NEG,NY,sprfl_night,2010,0.86
NEG,NY,sprfl_night,2015,0.86
NEG,NY,sprfl_night,2020,0.00
NEG,NY,sprfl_night,2025,0.00
NEG,NY,sprfl_night,2030,0.86
NEG,NY,sprfl_night,2035,0.00
NEG,NY,sprfl_night,2040,0.00
NEG,NY,sprfl_night,2045,0.00
NEG,NY,sprfl_night,2050,0.00
NEG,NY,sprfl_night,2075,0.00
NEG,NY,wntr_day,2010,0.00
NEG,NY,wntr_day,2015,0.71
NEG,NY,wntr_day,2020,0.08
NEG,NY,wntr_day,2025,0.00
NEG,NY,wntr_day,2030,0.00
NEG,NY,wntr_day,2035,0.00
NEG,NY,wntr_day,2040,0.00
NEG,NY,wntr_day,2045,0.00
NEG,NY,wntr_day,2050,0.00
NEG,NY,wntr_day,2075,0.00
NEG,NY,wntr_mrnevn,2010,0.00
NEG,NY,wntr_mrnevn,2015,1.64
NEG,NY,wntr_mrnevn,2020,0.00
NEG,NY,wntr_mrnevn,2025,0.17
NEG,NY,wntr_mrnevn,2030,0.00
NEG,NY,wntr_mrnevn,2035,0.00
NEG,NY,wntr_mrnevn,2040,1.36
NEG,NY,wntr_mrnevn,2045,0.07
NEG,NY,wntr_mrnevn,2050,0.00
NEG,NY,wntr_mrnevn,2075,0.00
NEG,NY,wntr_night,2010,0.79
NEG,NY,wntr_night,2015,1.14
NEG,NY,wntr_night,2020,0.00
