region,unit,value
NEG,nuc_X,2.56
NEG,hyd_X,0.00
NEG,geo_X,0.00
NEG,bio_X,5.53
NEG,lfg_X,0.00
NEG,msw_X,3.31
NEG,slr_X,0.00
NEG,wnd_X,0.00
NEG,oth_X,0.89
NEG,ps_X,0.00
NEG,col_N,6.87
NEG,col_Nccs,9.05
NEG,ngcc_N,3.11
NEG,ngcc_Nccs,6.45
NEG,ngtb_N,9.87
NEG,nuc_N,2.04
NEG,bio_N,5.00
NEG,fc_N,49.00
NEG,slrPV_N,0.00
NEG,slrCSP_N,0.00
NEG,col_X1,3.77
NEG,col_X2,7.84
NEG,col_X3,4.79
NEG,col_X1bio,0.00
NEG,col_X2bio,0.00
NEG,col_X3bio,0.00
NEG,col_X1ccs,0.00
NEG,col_X2ccs,0.00
NEG,col_X3ccs,0.00
NEG,ngcc_X1,2.24
NEG,ngcc_X2,2.19
NEG,ngcc_X3,2.21
NEG,ngtb_X1,4.76
NEG,ngtb_X2,5.09
NEG,ngtb_X3,4.79
NEG,stog_X1,0.00
NEG,stog_X2,0.00
NEG,stog_X3,0.00
NEG,lfg_N_hi,8.33
NEG,lfg_N_lo,8.33
NEG,lfg_N_vl,8.33
NEG,geo_N_1,9.64
NEG,geo_N_2,9.64
NEG,geo_N_3,9.64
NEG,geo_N_4,9.64
NEG,geo_N_5,9.64
NEG,geo_N_6,9.64
NEG,geo_N_7,9.64
NEG,geo_N_8,9.64
NEG,geo_N_9,9.64
NEG,geo_N_10,9.64
NEG,wnd_Nonsh_3,0.00
NEG,wnd_Nonsh_4,0.00
NEG,wnd_Nonsh_5,0.00
NEG,wnd_Nonsh_6,0.00
NEG,wnd_Nonsh_7,0.00
NEG,wnd_Nshal_3,0.00
NEG,wnd_Nshal_4,0.00
NEG,wnd_Nshal_5,0.00
NEG,wnd_Nshal_6,0.00
NEG,wnd_Nshal_7,0.00
NEG,wnd_Ndeep_3,0.00
NEG,wnd_Ndeep_4,0.00
NEG,wnd_Ndeep_5,0.00
NEG,wnd_Ndeep_6,0.00
NEG,wnd_Ndeep_7,0.00
NY,nuc_X,2.56
NY,hyd_X,0.00
NY,geo_X,0.00
NY,bio_X,5.23
NY,lfg_X,0.00
NY,msw_X,1.51
NY,slr_X,0.00
NY,wnd_X,0.00
NY,oth_X,0.00
NY,ps_X,0.00
NY,col_N,6.87
NY,col_Nccs,9.05
NY,ngcc_N,3.11
NY,ngcc_Nccs,6.45
NY,ngtb_N,9.87
NY,nuc_N,2.04
NY,bio_N,5.00
NY,fc_N,49.00
NY,slrPV_N,0.00
NY,slrCSP_N,0.00
NY,col_X1,3.21
NY,col_X2,3.55
NY,col_X3,2.98
NY,col_X1bio,0.00
NY,col_X2bio,0.00
